disp f1,disp f2,disp f3,disp f4,disp f5,disp f6
1.61218598260492e-07,5.61960944004322e-07,1.65388401981214e-07,5.60408859849764e-07,1.63627302335137e-07,5.55769513846114e-07
1.17222067790407e-07,5.6313131324083e-07,1.20820025265253e-07,5.62221799224984e-07,1.18553379451125e-07,5.60603277473256e-07
5.52889810893898e-08,5.64617298786908e-07,5.67238105407634e-08,5.64248571151538e-07,5.34380728328219e-08,5.66341792295752e-07
4.38054352004099e-08,5.65629547428457e-07,4.27336348026072e-08,5.64886468914222e-07,4.54589706577073e-08,5.68607140213605e-07
7.20304697613784e-08,5.66015968886409e-07,7.12025756672948e-08,5.64635855307574e-07,7.61409699933141e-08,5.6848167232647e-07
9.93465574837207e-08,5.6622980279846e-07,9.8803380056826e-08,5.63964907299028e-07,1.04381941697877e-07,5.67241934998534e-07
1.65570480904223e-07,5.66508449130549e-07,1.65895275596867e-07,5.61899214159219e-07,1.72240547892665e-07,5.62982426675715e-07
2.3241147585415e-07,5.6633086780525e-07,2.32753701650678e-07,5.58404189880498e-07,2.38470624544497e-07,5.55345223385044e-07
2.30844958154596e-07,5.59721433305199e-07,2.35992426819971e-07,5.55821477454104e-07,2.35354279800046e-07,5.44124239782512e-07
1.82531156130382e-07,5.61292981369903e-07,1.86704727664229e-07,5.58782593745669e-07,1.84727142781378e-07,5.51459519236249e-07
1.2407427518613e-07,5.64889300563706e-07,1.24230780052345e-07,5.59790338415516e-07,1.30754266944946e-07,5.60849424191199e-07
1.40501813990852e-07,5.66474523994054e-07,1.40500686733193e-07,5.63025386387838e-07,1.46609850546714e-07,5.65460152040294e-07
1.85928884336526e-07,5.64985638366373e-07,1.86493276780743e-07,5.57494771293114e-07,1.92897800875388e-07,5.56017547176495e-07
2.11634784191158e-07,5.66437501842973e-07,2.12197952823953e-07,5.59711583094805e-07,2.18392732011369e-07,5.58240851991658e-07
2.53061576627379e-07,5.64652089340683e-07,2.53028955523863e-07,5.53482572590311e-07,2.58015657401429e-07,5.47094283917294e-07
3.19181992014083e-07,5.6398549218135e-07,3.17744130123452e-07,5.4838796869832e-07,3.20217940298865e-07,5.35578149681124e-07
3.84857798904573e-07,5.63055621586933e-07,3.81028491258661e-07,5.42548510869201e-07,3.79732207085818e-07,5.22533127648508e-07
4.5150711499615e-07,5.61839486332184e-07,4.43953842910723e-07,5.35542091925769e-07,4.37198740216937e-07,5.06535051409481e-07
5.09588961820938e-07,5.60802768141021e-07,4.98273840437327e-07,5.29627033339272e-07,4.8625932530002e-07,4.9306766038921e-07
4.09055258611957e-07,5.50814973582684e-07,4.12551596606419e-07,5.35174954588088e-07,4.09742639231468e-07,4.97511194016421e-07
3.46611088395157e-07,5.53669832585368e-07,3.50987748960803e-07,5.4211812769848e-07,3.49217863208266e-07,5.13841714912512e-07
2.77478151743032e-07,5.56413423332182e-07,2.82305968028796e-07,5.48397795409105e-07,2.80814828601611e-07,5.29194500853191e-07
2.15504489446833e-07,5.58627910946627e-07,2.20129973694516e-07,5.53215604555549e-07,2.18307373307093e-07,5.41166357304684e-07
1.74310481521508e-07,5.30737601156692e-07,1.72152910066552e-07,5.11801857685998e-07,1.63776141818531e-07,4.94300807636388e-07
3.55442384456004e-07,5.34185948717698e-07,3.44900513430398e-07,5.01159914873298e-07,3.38004652174941e-07,4.74115798109936e-07
1.78378138923714e-07,5.32327847114162e-07,1.76645627959743e-07,5.15368933145792e-07,1.69137557306757e-07,4.99326853810374e-07
1.78321582432944e-07,5.32263597527566e-07,1.7648805185182e-07,5.15075538359104e-07,1.68705482688272e-07,4.98524009672074e-07
3.57396670067491e-07,5.35715677967842e-07,3.47259143064217e-07,5.04371888857743e-07,3.40957927254822e-07,4.78246495953427e-07
3.57301797426131e-07,5.35766189413148e-07,3.47030853783485e-07,5.04762512855245e-07,3.40710500304359e-07,4.79389308692561e-07
3.52887036427906e-07,5.26170288569002e-07,3.47399376686212e-07,5.02067273547175e-07,3.37026294797754e-07,4.65732646107905e-07
3.52959028312985e-07,5.26151814328514e-07,3.47588442589357e-07,5.02101048813604e-07,3.37334125378513e-07,4.65844513393144e-07
1.85164799185842e-07,5.37050381654759e-07,1.82296695023638e-07,5.16460256810077e-07,1.85417797744876e-07,5.06219672557349e-07
