Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,alpha,beta
13820949874.5861,831735498.704913,772989486.69846,737356439.123467,26166194.4527332,1936963494.66006,0.315387990214213,0.794434012607605,0.365248068752809,17.3528770480452,7.38616758203724e-06
13945319587.141,853599506.945772,776039587.749699,742064572.856498,26304755.8423716,1941512252.84325,0.318035533896757,0.798625046795915,0.365402607534071,16.9670365113261,7.06299143992831e-06
13862853902.9798,851235016.153851,766436295.582461,735202411.794759,26024804.617778,1913494211.7438,0.315910243532628,0.790105183038656,0.359220703333211,17.0242287245049,7.32437612766065e-06
13892172568.2458,853081595.476067,762384809.984248,733958562.391048,25939116.0794331,1898833253.06974,0.31630166969891,0.787480505411547,0.381290478679562,16.8082664859032,7.34976424552493e-06
14068195868.9509,862038548.174495,753865066.119169,734288595.270983,25816758.3928498,1862935684.10357,0.319422642045592,0.783691116409803,0.395084814462965,15.9258106980508,7.47461221761462e-06
13947179534.9059,856466105.172408,755377220.91398,731917814.460201,25793078.8119102,2008963462.81658,0.31706501448077,0.783005759959373,0.370498148982726,16.4186407702002,7.39636085976406e-06
13966419366.3191,858333577.388727,801515970.32662,728700583.573987,25616119.0881479,1938699730.27869,0.317084509628452,0.7775981896432,0.370968034001962,16.1494055755685,7.42151240598743e-06
13972890607.9467,859945111.978351,774048714.591097,724017436.646171,25375528.3225624,1937842843.61149,0.316735051984787,0.824992460147205,0.371601874529581,15.8676008632128,7.44270713067997e-06
14127190807.3867,870061177.210552,775408109.199051,716014698.193179,24851322.6458247,1935185890.90655,0.318651076898221,0.859472978504465,0.373018549477751,14.6536656819896,7.58147239472164e-06
13989368690.4621,862985190.682345,774169033.124463,766474564.177801,24958707.7396711,1936328622.9931,0.316230200596762,0.803459732160793,0.372701334624687,15.3568407489329,7.48290478158276e-06
14262884286.2468,869594111.712284,766243335.446813,740175309.32787,25106927.7824272,1904189015.54481,0.32174499928023,0.800703892061923,0.365375454446481,16.1072777881543,7.65310444576575e-06
13949274636.6012,864192152.885672,770249734.508222,738893393.263052,24958236.877572,1923017180.90955,0.335026686836373,0.803236576517403,0.372725843298626,15.1614113523399,7.52030013540175e-06
13913910724.9529,861198336.457228,766735309.882883,731290206.753446,24538231.6645909,1921534068.79036,0.320529076737836,0.798797473205031,0.376240866914855,15.6137013860438,7.83407544682448e-06
13898206293.8588,864997751.212956,762083170.949475,725903023.70192,23654969.5757006,1911544976.76392,0.321775848158376,0.79888368640959,0.381659996605248,14.9370338234026,8.21961745027257e-06
14052327059.1938,889110026.972276,767802444.434306,733915901.318922,24220206.7129506,1921461278.26516,0.324338049137501,0.803797538993703,0.379379392578379,14.7886166266624,7.6624356443947e-06
