f11_a,f02_a,f12_a,f20_a,f21_a,f21_b,f21_c,f03_a,f03_b,f13_a,f22_a,f04_a,f23_a,f14_a,f14_b,f30_a,f30_b,f31_a,f32_a,f24_a,f05_a,f33_a,f15_a,f25_a,f34_a,f40_a,f15_b,f06_a,f16_a,f41_a,f15_c,f33_b,f40_b,f14_c
3.24206912077637e-05,3.91370272476039e-05,2.29509724315124e-05,0.000276748022724617,2.794696919452e-05,2.03692969047966e-07,1.47197696473584e-07,2.88975464363564e-07,0.000374363228184715,0.000209130021054731,8.46175125762575e-05,0.000822536975744173,0.000501335572732265,1.18161926389898e-07,3.25237528148705e-05,3.40169597904623e-07,0.000817577546837224,0.000719525095371421,0.000117109009912765,0.000773252328763333,0.000271085162850743,0.001292280301932,0.000101728760326606,0.000289702675030736,0.00154493331006494,9.36092487202003e-08,9.24576729702785e-08,7.77632428020131e-08,1.58791896108901e-07,8.74897826000778e-08,1.68345181595712e-07,1.61324948878119e-07,1.16945436314699e-07,1.21382765301563e-07
4.84570942927378e-05,4.15904552404974e-05,3.41193099914148e-05,0.000141688650275071,6.90531829331117e-05,1.52634160383732e-07,6.62340439603277e-08,3.05750773054961e-07,0.000326813697941015,0.000309091268973067,4.74481859122861e-05,0.00081792968767975,0.000242530848143738,1.83903463903675e-07,0.000175147973457574,3.6028688432527e-07,0.000932811071787985,0.000762395774461076,0.000101943422909926,0.00036235214344237,0.000261357101757045,0.00132823262797311,5.72366409204954e-05,0.000270423375497581,0.00152719920940837,2.47664566232315e-07,9.45139721469083e-08,1.10647490668425e-07,1.95125143936146e-07,1.45629967870571e-07,1.84033753707442e-07,1.62155574107983e-07,1.29527882451063e-07,1.36198512189517e-07
6.35514545508736e-05,4.62654426759018e-05,4.63024251153296e-05,2.47520175449795e-05,0.00018962939817582,7.4374504358974e-08,6.14332924249393e-08,3.2966112440883e-07,0.00027144893673682,0.000404913377887911,2.99723878684867e-06,0.00081294570817376,6.18918914207875e-05,2.5555169331238e-07,0.000413747602853889,2.50818251414324e-07,0.000804392966800354,0.00054632986539051,3.55721696165668e-05,0.000111053546334959,0.000234791473002859,0.000899252705484359,3.92016580171696e-05,0.000143078216613667,0.000941499924544924,2.77051741236125e-07,5.8594284555974e-08,1.69275058273639e-07,1.93811767181496e-07,2.14581720025035e-07,1.44718414009925e-07,9.97672938652434e-08,2.359119476907e-07,1.12307683783276e-07
8.04439119181465e-05,5.00234880377551e-05,5.64511624624844e-05,0.000232995069146541,0.00033979049321708,3.32187158596901e-08,1.60260446026887e-07,3.56651184772088e-07,0.000202627710618743,0.000502221822311362,4.7713596638688e-05,0.000829822282458515,0.000417078468889819,3.30732446826333e-07,0.000780909204749786,7.66178242367816e-08,0.000445453066121168,7.48910146939695e-05,9.4834892721625e-05,0.000655867700642449,0.000278195687188564,3.79011734427619e-05,0.000241032880641024,0.00014238995312618,0.000138903678927656,1.24945765907799e-07,4.30687920843244e-08,2.39148245451507e-07,1.61492612135434e-07,1.46943573086137e-07,8.11036642801738e-08,5.94628558274474e-08,2.01498245108175e-07,5.89939345210124e-08
9.57878043387532e-05,5.47079902366651e-05,6.62703081763151e-05,0.000437552991718799,0.00048826651968379,8.31969213814787e-08,2.83515972189171e-07,3.90007172633838e-07,0.000139327847430876,0.000591278147589005,9.54938423433369e-05,0.00085922870275218,0.000744008099946408,4.07707373757165e-07,0.00117756963035753,2.75196306723506e-07,1.48972032912567e-05,0.000495296504976743,0.000240333800793578,0.00114078332697878,0.00032986525120737,0.000944008996251023,0.000450744074502505,0.00049067166929304,0.00131281172344782,2.22411035955509e-07,1.11245000219367e-07,3.19185364365676e-07,1.13470550107234e-07,7.60645108050776e-08,6.99422572148493e-08,1.62854258135853e-07,5.48964901739815e-08,3.18893439681162e-08
0.000111454204558958,6.09347726384721e-05,7.75162881391274e-05,0.000650529309734351,0.000645768280682897,1.57054706669567e-07,4.08966464280685e-07,4.2623287163462e-07,7.93914408412927e-05,0.000688936550116431,0.00014390188871694,0.000912546738814867,0.00107441314116631,4.8698931508775e-07,0.00161422227462537,5.94844803803047e-07,0.000513777029014261,0.00111368335650446,0.000392788209783741,0.00162416814438804,0.000389473664950712,0.00196165681092446,0.00066608542442774,0.000870592499093765,0.00249815554395733,5.88035610680644e-07,2.09156577776743e-07,4.24603307803923e-07,8.47721451570338e-08,2.73508265130435e-07,1.60327343159046e-07,3.11541087319745e-07,1.47484063018811e-07,8.88918943358418e-08
0.000123864050170312,2.75878167176839e-05,1.42134961615052e-05,0.000656875736533858,0.000671302159149448,2.01311083403531e-07,4.46515618596996e-07,3.91724094369684e-07,1.69271813493909e-05,0.000593234465152867,2.02687884280348e-05,0.001022261902282,0.000886985447782434,5.4231624568733e-07,0.00176637602211877,6.01532449433054e-07,0.000451088136207926,0.00126178265077026,8.66451085361494e-05,0.00176994224647408,0.0011076019241117,0.00140471958424035,0.00119303694223037,0.00180678236679831,0.00267286710875425,6.09217896659173e-07,3.68919602899986e-07,2.64813450966575e-07,1.07906431431154e-07,3.17909195610363e-07,4.62736355942058e-08,3.16095042655513e-07,1.31192078884416e-07,4.18273276181387e-08
0.000106990185643174,2.18255403275725e-05,1.12725952884867e-05,0.000448760120799583,0.000503384755661197,1.13497797880433e-07,3.08653987691628e-07,3.53620473376813e-07,8.36689486764627e-05,0.000509509562404578,1.7619053800032e-05,0.000967926809463151,0.000621185537155123,4.56240340081359e-07,0.00131392509610215,2.81504262486929e-07,2.52638987829022e-05,0.00059226843455296,9.60677803939999e-05,0.00125807038222984,0.00100743156778916,0.000623551044751265,0.000947444845637125,0.00115601056892934,0.00140980496877229,2.36785909263106e-07,2.27813981752914e-07,1.86239383340616e-07,7.00891271642278e-08,9.34457554220794e-08,1.00530273097406e-07,1.84646736477382e-07,6.39137896226944e-08,6.65988095026246e-08
8.8810679318418e-05,1.59332254924064e-05,7.8478370325096e-06,0.000226695106094871,0.000326248503437161,4.42469488032881e-08,1.72745224911063e-07,3.08514893961553e-07,0.000159191193925575,0.000421574521789657,1.7183713229934e-05,0.00093749093728231,0.000323510515500168,3.70106281231355e-07,0.000857207252331685,7.74139992569997e-08,0.000509181967768081,8.9476535087359e-05,0.000103008693004882,0.00067848736504542,0.000948410687070032,0.000220918930761742,0.000699696399675112,0.000467942284225846,1.57812626615914e-05,1.19303894313149e-07,1.0352378735616e-07,1.18701145408979e-07,8.06775972244947e-08,1.5190405074083e-07,1.63268250068292e-07,7.1105567085159e-08,2.06133195624842e-07,1.2159213904153e-07
7.2312613402499e-05,1.25563752862251e-05,6.89009908564685e-06,4.18664870017614e-05,0.000179711243335714,6.34112070221857e-08,6.59298282955061e-08,2.88674213213411e-07,0.000227521810503026,0.000347800807822835,1.43413159475713e-05,0.000928572167269481,6.53567768488847e-05,2.86352737667499e-07,0.00051039457381364,2.47131518542335e-07,0.000823579537938479,0.000560629104499495,0.000107122117534289,0.000153820655789835,0.000913995768872627,0.00082151338628792,0.000488519850405418,7.54261674881189e-05,0.00102592743121058,2.77228233373289e-07,3.54951806456683e-08,7.32560723331435e-08,1.32170298767588e-07,2.3143685162441e-07,2.15544906230471e-07,5.40254194558868e-08,2.35424801196519e-07,1.65921680582269e-07
