f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
1.29041152299678e-07,3.04314871849949e-08,1.56952284768001e-08,8.84652417601702e-08,5.19935917319695e-08,2.57482703644694e-08,1.3280237884286e-07,2.4188096031991e-07,5.01297777156124e-08,8.82011784248867e-09,1.39222885407286e-07,2.67393524020142e-07,1.36534420895916e-07,2.36443016456807e-07,6.10756742203514e-08,1.97451786128772e-07,9.32792519765414e-08,2.94455841007925e-07,1.98010303321448e-07,1.54777198044205e-07,1.87828505105198e-07,2.58889957210713e-08,3.82448373008573e-08,8.29462406287344e-08,2.03735817211312e-07,1.40594286375116e-07,8.07162987266245e-08,2.21859194035967e-07,1.81167628025899e-07,2.48366806426021e-07,2.68955232760614e-08
1.44833828207093e-07,3.14465572170573e-08,1.54299631000917e-08,4.87506444764128e-08,3.26107310815556e-08,4.7162255634627e-08,1.1093072884912e-07,2.38284023571454e-07,7.93631506397735e-08,6.29994032385625e-09,1.56878199824258e-07,2.38256110736051e-07,1.30021963766071e-07,2.29652927624921e-07,3.34863970200611e-08,1.79015325331196e-07,6.48545672143955e-08,2.94924389104328e-07,1.99195988896542e-07,1.68561483829805e-07,2.08425388837569e-07,2.77899771074722e-08,4.12329094386219e-08,4.50676804433542e-08,1.81839051852598e-07,1.39732852476342e-07,9.1824539960329e-08,2.63662261382709e-07,2.07801003150344e-07,2.18009877905369e-07,3.51531718199244e-08
1.60330253813389e-07,3.40101824578139e-08,1.66564790818916e-08,2.79000189824945e-08,2.74286792184627e-08,7.59377997649088e-08,8.86379512645727e-08,2.34640889090529e-07,1.10090237364118e-07,4.25260571314752e-09,1.74859271756282e-07,2.00933840128382e-07,1.20513942340307e-07,2.17805839041519e-07,1.96730687520713e-08,1.55294048122149e-07,4.72303559096722e-08,2.95375918771437e-07,1.96994720779253e-07,1.80794179082612e-07,2.27940859762401e-07,3.04366938640766e-08,4.29229263682626e-08,2.63661662560734e-08,1.52775044242384e-07,1.3945252616967e-07,1.01916171847253e-07,2.89485840664164e-07,2.22431574247433e-07,1.80191191578188e-07,4.84062338144426e-08
1.75855260149238e-07,3.89444475249009e-08,2.09650075725626e-08,6.54143129747777e-08,6.28382913758318e-08,1.17485817622385e-07,6.44573733869847e-08,2.30756729614418e-07,1.44304023108194e-07,6.01974352597894e-09,1.92346462950057e-07,1.42781918088294e-07,1.02597869897102e-07,1.93467953249461e-07,4.76170423331109e-08,1.16897009242068e-07,5.74465411384031e-08,2.95854360379449e-07,1.8699885159669e-07,1.90933511887164e-07,2.45237124257135e-07,3.14724663847104e-08,4.47637761135425e-08,6.47771071830046e-08,1.09901104772368e-07,1.40871722133305e-07,1.11968461832696e-07,2.71799896695841e-07,2.04137583148752e-07,1.24026736376157e-07,7.07303087587452e-08
1.91526660314336e-07,4.39637413255551e-08,2.40084365092679e-08,1.08330589976676e-07,1.00694132884428e-07,1.60630691249036e-07,4.30062270350851e-08,2.2702708446045e-07,1.79784351512596e-07,7.1590246744307e-09,2.09681648786514e-07,9.7472152440492e-08,8.24287532752119e-08,1.66070575251609e-07,7.75263063988046e-08,8.15930697211654e-08,7.93291243268896e-08,2.96922191300377e-07,1.75517508044851e-07,2.0130778550588e-07,2.62204905142001e-07,3.13932442422381e-08,4.7764829100429e-08,1.06991176544949e-07,7.47316112667359e-08,1.43735517432633e-07,1.22854161460565e-07,2.39319017881892e-07,1.74453537372505e-07,8.16997911842744e-08,9.31588432765938e-08
2.07034905936658e-07,4.92449070803704e-08,2.35919262116136e-08,1.61177411593591e-07,1.41390747352062e-07,2.06175579029543e-07,2.86613989076173e-08,2.24365879761927e-07,2.17559113365739e-07,7.5188150062629e-09,2.27798381652262e-07,8.85383331815228e-08,5.75665293112941e-08,1.3106805291784e-07,1.12290607247161e-07,5.65094686755278e-08,1.37353958128162e-07,3.00520887729197e-07,1.59982287883847e-07,2.11006578777862e-07,2.78622737955717e-07,3.18900105896792e-08,5.00990137104049e-08,1.54945940113294e-07,6.0240167886877e-08,1.50726621473e-07,1.34721938056745e-07,1.6927468846611e-07,1.17610446312647e-07,8.01231758423887e-08,1.09849143705721e-07
2.22289056175893e-07,5.4765893569832e-08,2.43254450366632e-08,2.15449818577982e-07,1.82089949390448e-07,2.5169743303462e-07,1.9343653259567e-08,2.21951115677255e-07,2.55449878025494e-07,9.68119285660533e-09,2.46270761797713e-07,9.91115290151468e-08,3.52876948307693e-08,9.45012432513404e-08,1.48630997828111e-07,4.55707877527951e-08,2.00398368692661e-07,3.04370695862331e-07,1.43107191522022e-07,2.19404032482414e-07,2.94144492074499e-07,3.42943415733602e-08,5.03921080355812e-08,2.02979077763274e-07,6.12792849780345e-08,1.58031933184465e-07,1.45879422411335e-07,1.10187334963804e-07,7.27496639113982e-08,9.55854518236452e-08,1.22629040490432e-07
2.37575919445612e-07,6.09029456123148e-08,2.88761234802569e-08,2.71491027388829e-07,2.2421778777449e-07,2.99098435261815e-07,3.98572028512708e-08,2.2022578228748e-07,2.95399416327059e-07,1.73519620463548e-08,2.64878548718757e-07,1.874557614949e-07,3.06493588421543e-08,5.53474969340037e-08,1.8441481083342e-07,1.01560078181335e-07,2.70115354436245e-07,3.0949183010777e-07,1.24487108941316e-07,2.27460067531417e-07,3.07472475871558e-07,3.5963317995597e-08,5.15750661749979e-08,2.5049875395329e-07,1.20518143013944e-07,1.67378960821699e-07,1.56987562810042e-07,1.26923666353057e-07,1.00797449574529e-07,1.70918810619304e-07,1.31024878827126e-07
2.53044798150385e-07,6.71263833222649e-08,3.27136400450156e-08,3.2778204778378e-07,2.67005510829963e-07,3.47360356778385e-07,6.36477734278173e-08,2.18769638637823e-07,3.36281485614131e-07,2.31468650484631e-08,2.83539241206172e-07,2.81687347291332e-07,3.3303996017195e-08,2.7669589587348e-08,2.19465955665775e-07,1.63152124983748e-07,3.41303998069138e-07,3.15399355143508e-07,1.06666374325251e-07,2.36634702267613e-07,3.20655023506785e-07,3.59426336760071e-08,5.45868276891004e-08,2.98645380360039e-07,1.8225776800086e-07,1.77990262333952e-07,1.69082924366328e-07,1.67757549128819e-07,1.46362421510156e-07,2.50850718365068e-07,1.40746073142821e-07
2.68539647517765e-07,7.38389132400818e-08,3.29185683087588e-08,3.84558770443226e-07,3.10289300264811e-07,3.96838923492813e-07,8.8122538887646e-08,2.19210916038465e-07,3.79126709118389e-07,1.95912626108915e-08,3.04059276909076e-07,3.80337361646071e-07,5.67489625908786e-08,4.75607338457257e-08,2.55703318452725e-07,2.28122123300083e-07,4.15046982155843e-07,3.25282445590143e-07,9.17124452055499e-08,2.48053045517616e-07,3.34719067566246e-07,3.61574844538461e-08,5.84947957050447e-08,3.49024586479449e-07,2.47192988200172e-07,1.92498234587768e-07,1.83949016441347e-07,2.83926395700771e-07,2.39759021094942e-07,3.34464823426287e-07,1.50713021213058e-07
