x,y,z,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
0,0.0577763425732231,0,2.05805798053195e-07,4.78411759592607e-07,2.2968959681946e-07,9.96395562305775e-08,1.88360267481215e-07,3.94582976103203e-07,1.59614336011353e-07,2.73003463308839e-07,3.44251746906671e-07,1.57143286161961e-07,3.12082587331603e-07,4.42859628523173e-07,3.11309126608695e-07,1.69512216506663e-07,1.61304478985241e-07,3.92362735553176e-07,4.50246052882498e-07,1.79836912024644e-07,1.88051810092924e-07,1.56751516549543e-07,3.76265962162213e-07,1.64804076204771e-07,2.09335343037958e-07,3.82220005488445e-07,2.07295434249007e-07,2.11284731455667e-07,3.93184145949975e-07,1.14966649598541e-07,2.05410099611475e-07,1.90624363541855e-07
0,0.0577763425732231,0.00355,2.05804119035098e-07,4.78412637416415e-07,2.29685184245577e-07,9.96571700428585e-08,1.88383523661909e-07,3.94577233478403e-07,1.59642331218709e-07,2.7299542716002e-07,3.44238594818377e-07,1.57176943377616e-07,3.12072033344752e-07,4.42848815023484e-07,3.11299551900566e-07,1.69508443674687e-07,1.61347691453316e-07,3.92357114121266e-07,4.50205562866562e-07,1.79824793697189e-07,1.87774352174351e-07,1.56453120107482e-07,3.76264435745143e-07,1.6480414647058e-07,2.09046599223394e-07,3.82237526121076e-07,2.0703178149865e-07,2.11257370509338e-07,3.93192600808943e-07,1.15020034626647e-07,2.05187161709287e-07,1.9124698522823e-07
0,0.0701842283821487,0,1.38659881650658e-07,4.84225281097769e-07,1.56757116369684e-07,1.797791189196e-07,2.8560857270438e-07,3.78654022666434e-07,2.63041969774078e-07,1.89945338518408e-07,2.97729821544524e-07,2.73605356067688e-07,2.76967943736458e-07,4.27602319553539e-07,2.36290123368944e-07,1.66101817286015e-07,3.00129130719818e-07,3.5029877547329e-07,4.13103243865853e-07,1.11009614015055e-07,5.48979234998058e-08,1.20290506699162e-07,3.44196597676201e-07,2.68418015764965e-07,5.31912314244137e-08,3.97319752562551e-07,3.83427446237215e-08,1.2864552075482e-07,3.69868965984326e-07,2.81720279826984e-07,3.92182440319584e-08,3.81964763974661e-07
0,0.0701842283821488,0.00355,1.38657111015514e-07,4.84225963333525e-07,1.56749655481074e-07,1.7979225455176e-07,2.85625791694622e-07,3.78650088531488e-07,2.63062930997716e-07,1.89930294103421e-07,2.97660536972871e-07,2.73631445584362e-07,2.76898871669441e-07,4.27594989885779e-07,2.36253664723351e-07,1.66048684242822e-07,3.00165561619594e-07,3.50202119516453e-07,4.13066668851677e-07,1.11010440636342e-07,5.5174835240345e-08,1.20636862698409e-07,3.44093950172354e-07,2.68405782764989e-07,5.34578662758789e-08,3.97358376154886e-07,3.84974722252599e-08,1.28641973941612e-07,3.6975749256815e-07,2.81783700013589e-07,3.9018915304183e-08,3.82147516881584e-07
0,0.0825921141910744,0,7.0252708081462e-08,4.87835368064105e-07,8.00426623660537e-08,2.30535830813919e-07,3.47546257670918e-07,3.68282884853697e-07,3.30016468117387e-07,9.79438585222785e-08,1.72488658466278e-07,3.50714394458748e-07,1.63041071869021e-07,4.16987843926338e-07,1.28634534247945e-07,1.01541454995503e-07,3.94105386575766e-07,2.06012322909324e-07,3.8269946816964e-07,5.26979110708988e-08,2.51566652654086e-07,3.53243833183827e-07,2.05118282447371e-07,3.32413206128148e-07,2.64118045542602e-07,4.1560503069978e-07,2.27711764549737e-07,5.9504426885317e-08,2.24408452504442e-07,4.04960054038392e-07,1.5038997773693e-07,3.03279493558828e-07
0,0.0825921141910744,0.00355,7.02498302540171e-08,4.87835532606904e-07,8.00349287208595e-08,2.30543203883286e-07,3.47555846413524e-07,3.68279169710437e-07,3.30028072164589e-07,9.79272987621219e-08,1.72376326975984e-07,3.50728472931665e-07,1.62928552805385e-07,4.16977981469338e-07,1.28584530835915e-07,1.01453600038454e-07,3.94122895499191e-07,2.05863173583366e-07,3.82661733747007e-07,5.27101503322374e-08,2.51796369662686e-07,3.53490877930699e-07,2.04962659052962e-07,3.32391619582266e-07,2.64361437380093e-07,4.15610316035392e-07,2.27940487499349e-07,5.95221703710559e-08,2.24233494232247e-07,4.04980114853432e-07,1.50592973486189e-07,3.02882492843858e-07
0,0.095,0,9.93276207169464e-09,4.89063301818449e-07,1.1290648859159e-08,2.4786761418501e-07,3.6876062164394e-07,3.64708799528922e-07,3.5308237227995e-07,1.38910312144246e-08,2.59740343212949e-08,3.77956278035316e-07,2.44199780869901e-08,4.13436059770305e-07,1.85064226607554e-08,1.55770698775895e-08,4.27092083571227e-07,3.10453746877438e-08,3.71268658708737e-07,6.9167140375843e-09,3.32280620360912e-07,4.46098625179724e-07,3.07965531389822e-08,3.54279309826091e-07,3.51930659355111e-07,4.24067269471973e-07,3.10636310262637e-07,7.79898102899261e-09,3.35995457122238e-08,4.5062233208756e-07,2.21002920922051e-07,5.18856300379203e-08
0,0.095,0.00355,9.93535386890078e-09,4.89063261842958e-07,1.12977110714672e-08,2.47866904514011e-07,3.68758877636925e-07,3.64708864430342e-07,3.53078929216569e-07,1.39032339238774e-08,2.59779552991942e-08,3.77951841159211e-07,2.44124200793802e-08,4.13435787523387e-07,1.85223649384186e-08,1.5579795120546e-08,4.27085142778727e-07,3.10713309471021e-08,3.71267587697499e-07,6.9425783504293e-09,3.3226814697824e-07,4.46083059856832e-07,3.08255440804121e-08,3.54274975301565e-07,3.51914050208571e-07,4.24061721550971e-07,3.10619832390793e-07,7.81632481119405e-09,3.36354512907427e-08,4.50614921094767e-07,2.20989190251028e-07,5.19437312934876e-08
0,0.107407885808926,0,7.02099329766626e-08,4.87852415149246e-07,7.99386229489834e-08,2.30544722883034e-07,3.47563949350611e-07,3.68331912652163e-07,3.29950300519508e-07,9.85899377628975e-08,1.72704335968291e-07,3.51984205674953e-07,1.60119803924105e-07,4.17717634731245e-07,1.27414893076367e-07,1.01435019798394e-07,3.94096458206016e-07,2.07314288263071e-07,3.83189840598019e-07,5.19533647728056e-08,2.50222035498917e-07,3.53117927523606e-07,2.0494274812937e-07,3.33914228941922e-07,2.63361351531451e-07,4.17661707554299e-07,2.28519878379917e-07,6.05445083412064e-08,2.21929923606655e-07,4.07107845407343e-07,1.51361229533944e-07,3.0448782983709e-07
0,0.107407885808926,0.00355,7.02119427289751e-08,4.87852296478793e-07,7.9944081794763e-08,2.30540661563868e-07,3.47557840762217e-07,3.68333746243953e-07,3.29941265680065e-07,9.86013584614343e-08,1.72761344217024e-07,3.51971578760468e-07,1.60175547918435e-07,4.17722086479777e-07,1.27442854972317e-07,1.01475308466962e-07,3.9407696401472e-07,2.07382865132338e-07,3.83207468445485e-07,5.19557934228191e-08,2.50095626668186e-07,3.52978940694413e-07,2.05011634722175e-07,3.33912028977354e-07,2.6322414621233e-07,4.17652609482401e-07,2.28389116293943e-07,6.05490775934255e-08,2.22007786355592e-07,4.07072595899357e-07,1.51243301390817e-07,3.0468901391465e-07
