f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,used f1,used f2,used f3,used f4,used f5
61.2201433418646,105.183532516449,145.13198429684,161.875880507642,186.601361239043,300.675661981192,471.275908769586,435.457594887526,485.805271528553,545.261961653681,715.419660922194,706.516061118285,f11,f02,f20,f21,f33
57.1959055207036,100.820571360922,143.545924229755,152.927963100775,181.648035341215,286.873843703506,448.139450284752,426.310370460613,472.545927798963,527.024741475065,682.384450444913,677.776342332021,f11,f02,f20,f22,f23
60.7266694866951,104.01482161142,143.640880224616,160.394333247772,184.789330578279,298.014574560303,467.41341435161,431.05233942629,481.178992847544,540.440591779666,709.606171813621,700.58963523744,f11,f02,f20,f22,f30
60.6896779609692,103.719621668145,144.034692356003,160.134167442729,185.119576390076,297.924495115691,466.896567392948,431.583688847234,481.138047617185,540.786390584488,708.428106848196,700.623784495003,f11,f02,f20,f22,f31
60.315675468877,104.653089409222,143.19199112127,160.144145597444,184.221098887898,296.877801034259,465.86369612866,431.168380437909,481.123115439154,537.930173608506,708.744880849342,697.491879411448,f11,f02,f20,f22,f32
58.3732446172482,98.7606887424329,145.40932208163,153.41919490052,184.012583852425,290.037705385437,451.576731529289,427.51388170901,472.706632610169,534.072649093244,682.984508511533,686.194475220815,f11,f02,f20,f22,f24
60.4023519478332,104.644172582758,145.094866184764,160.299397518177,185.791845220824,298.237276535338,467.464698961553,434.549122169024,484.264886207288,542.644326157834,710.18825230977,701.94073602853,f11,f02,f20,f22,f33
57.1256033217014,100.544189394473,142.623286770834,152.645498832994,180.788896833144,286.050812190467,447.120419069048,424.216684987227,470.592178917742,524.79577034656,681.025513216453,675.533899520133,f11,f02,f20,f23,f30
57.1136864714528,100.579491748548,143.016121812054,152.647052664779,181.121220384517,286.237905000769,447.258914754489,425.03304222945,471.230976698664,525.545525310148,681.128954672014,676.167684178457,f11,f02,f20,f23,f31
57.024047533399,100.787020215607,142.791919098765,152.639701746954,180.883906275715,285.968140705667,446.992402758722,424.871656714559,471.167432532136,524.819383594108,681.165044686645,675.378557720096,f11,f02,f20,f23,f32
55.6154669116704,96.8765050815113,142.939324327967,147.991904760464,179.541333947531,280.363583177147,436.430171310426,420.03479426669,463.427695164074,519.096009214751,663.107639323557,664.85092487662,f11,f02,f20,f23,f24
57.3867960823579,100.84669420741,144.298696333062,153.244682648402,182.413039980973,287.831544454759,449.432041930039,427.749649743083,473.945185170389,529.362991022091,683.76428569849,680.376595615235,f11,f02,f20,f23,f33
61.8011893182393,103.634913490906,143.370387587815,161.753979355813,185.563368875563,300.450145373782,470.734940216101,430.431104546215,480.697989260242,542.525623373138,712.98170630089,704.862834532378,f11,f02,f20,f30,f31
61.2731904234673,104.51316642345,142.342148419624,161.493800223769,184.375530767044,298.86048003352,468.92131843966,429.58718047063,480.18201869957,538.774166843512,712.344412479136,700.528640482767,f11,f02,f20,f30,f32
58.5805800765552,98.4993308039121,144.566868577702,153.562933417572,183.478974731979,289.993912372803,451.645479007568,425.642867556794,471.077931761646,532.777742444189,682.903088500472,685.450901556302,f11,f02,f20,f30,f24
61.4386443679167,104.369373842122,143.829666805732,161.679700457928,185.66497563926,300.132182841761,470.440028255596,432.031600387947,482.489332979319,542.761187958903,713.602652798877,704.46249425159,f11,f02,f20,f30,f33
61.2261567427037,104.207970230787,142.58595322123,161.213395044575,184.56554022053,298.662860394528,468.300799165938,429.806156472336,479.894556329833,538.795024124067,711.072873985629,700.252003821111,f11,f02,f20,f31,f32
58.5727345831906,98.5629836063379,145.153094452824,153.588067115421,183.98182800886,290.307558810886,451.914723861202,426.870019029784,472.062143171463,533.942964173455,683.148598486992,686.470076149428,f11,f02,f20,f31,f24
61.388085067805,104.03486756625,144.239186476166,161.372440515053,185.998566388419,299.989564292003,469.811702998411,432.557063665297,482.384362747633,543.061008672242,712.228684419595,704.400916860745,f11,f02,f20,f31,f33
58.3009932850655,98.827090552926,144.040167874916,153.329314456601,182.882838427144,289.062159795045,450.428131157983,425.144929205555,470.537397202484,530.644806062301,682.037320907476,682.946633546785,f11,f02,f20,f32,f24
60.9542950842516,105.040575732696,143.366556421362,161.339322385488,185.023568921336,298.805710993651,468.638693818382,432.164227987671,482.416359190414,540.01528230958,712.492873251198,700.995375037045,f11,f02,f20,f32,f33
58.6655367173878,98.8101036450155,145.960034011423,153.894382161666,184.732409809859,291.140256658235,453.053129862181,428.655346852078,473.852128237298,536.128687115413,684.65282416144,688.756123535961,f11,f02,f20,f24,f33
60.3605160796411,103.833503151953,140.983366378093,159.694906473693,182.325523662765,295.391818722975,464.186813640169,426.050758976352,476.342680823507,533.274289629207,706.152650384998,693.259517978405,f11,f02,f12,f21,f22
58.1640817281802,101.238749462546,136.12832721875,154.563367247425,176.647744260512,285.253171543725,447.826356811133,413.831669474379,462.005417093251,513.02660423669,684.29303565289,667.899678818971,f11,f02,f12,f21,f23
60.9865320880687,103.704818869833,140.49166950202,160.554963999309,182.472267158213,296.708328699995,466.192927935052,425.08749518394,475.766552613948,533.969820666093,708.44541464082,695.362780494603,f11,f02,f12,f21,f30
60.990149905828,103.504616637813,140.405427881993,160.422613407667,182.422631874248,296.534675368508,465.801125625289,424.774283093946,475.220933778038,533.562975197235,707.691859224282,694.898583397739,f11,f02,f12,f21,f31
60.8274795146226,103.977354678266,139.132643368141,160.45647548715,181.322165295905,295.573542616738,464.843395192922,423.065587975829,473.866423462356,530.241775366399,707.533178942334,691.70323552782,f11,f02,f12,f21,f32
59.1089774866941,99.0588414441882,140.772393843119,154.663835051518,180.998797976312,289.394956878557,451.957802943818,419.767240885832,466.277983163731,525.744977733968,684.910262737238,680.740573079709,f11,f02,f12,f21,f24
60.7443458894156,103.992135948948,142.040715351272,160.380362052215,183.55045926934,297.084124122098,466.392162671678,428.238617203974,478.534127554748,536.722467658779,708.717461090415,697.298634514797,f11,f02,f12,f21,f33
60.1355745547847,102.508146180529,93.7278522592215,158.102398233562,143.754968420098,266.989319194488,434.999675106649,338.607133475885,398.82439977984,426.996879349263,681.0862341973,598.057550924724,f11,f02,f12,f22,f23
60.4060359995019,104.143750451267,135.889686392169,159.931997775748,178.213772044468,292.769357092507,462.099759820911,417.179990640273,468.898551086529,522.445277332277,705.349838093235,684.033547364605,f11,f02,f12,f22,f30
