rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,used f1,used f2,used f3,used f4
401.381330344067,11058882295.577,740034676.087308,577140126.983969,825158362.25745,714818468.325125,47528212.4951123,0.433178472330687,0.424244572633125,0.392319222952357,f11,f20,f31,f32
401.381330344067,6140025149.74006,830695881.773289,577140126.983969,830167424.500646,714818468.325125,47528212.4951123,0.438337563282307,0.427579089202671,0.398180303573517,f11,f20,f31,f24
401.381330344067,10657843973.6198,771616465.906633,577140126.983969,834349282.558077,714818468.325125,47528212.4951122,0.445752436912361,0.425503830330401,0.39531462958896,f11,f20,f31,f33
401.381330344067,3429231676.90432,755583349.775844,577140126.983969,853777804.943312,714818468.325125,47528212.4951124,0.441942291149565,0.423896150325439,0.393980946206035,f11,f20,f32,f24
401.381330344067,3400615488.95334,763640563.716073,577140126.983969,860997732.206063,714818468.325125,47528212.4951123,0.446199942544271,0.422542134290681,0.39521570428051,f11,f20,f32,f33
401.381330344067,3409833112.33863,789698604.942615,577140126.983969,867346612.401127,714818468.325125,47528212.4951126,0.455639556977809,0.423328491007736,0.397674296698628,f11,f20,f24,f33
401.381330344067,10621826470.3107,689171324.862427,577140126.983969,839227907.518131,714818468.325125,47528212.4951122,0.446729018382309,0.421929724573308,0.397084775686992,f11,f12,f21,f22
401.381330344067,6432209559.91033,639639429.184021,577140126.983969,847427560.179189,714818468.325125,47528212.4951123,0.383190989237878,0.43322369855539,0.386680387508223,f11,f12,f21,f23
401.381330344067,11148111320.997,722593117.986417,577140126.983969,840060084.963091,714818468.325125,47528212.4951124,0.452487861677275,0.423141667016802,0.396674763608402,f11,f12,f21,f30
401.381330344067,11354505841.6048,725455663.874707,577140126.983969,837164045.457899,714818468.325125,47528212.4951124,0.454049622533066,0.424411230193978,0.397308089827098,f11,f12,f21,f31
401.381330344067,10838715567.5077,660454218.58601,577140126.983969,846164616.138157,714818468.325125,47528212.4951123,0.438121044125428,0.423465332660413,0.394276350443529,f11,f12,f21,f32
401.381330344067,6378048732.90101,694687296.043832,577140126.983969,881205442.597671,714818468.325125,47528212.4951122,0.427600127954958,0.425316532568677,0.391487454957487,f11,f12,f21,f24
401.381330344067,10892423771.3172,702710241.9542,577140126.983969,843709058.491349,714818468.325125,47528212.4951122,0.449192114338485,0.42434564622837,0.396122666913046,f11,f12,f21,f33
401.381330344067,8197911354.60858,207968872.810602,577140126.983969,868393558.577535,714818468.325126,47528212.4951139,0.40957340737372,0.43853722608431,0.386921457096021,f11,f12,f22,f23
401.381330344067,11215919006.7077,700672060.322274,577140126.983969,826853562.812991,714818468.325125,47528212.4951124,0.446808885787806,0.419078065908024,0.396972008593336,f11,f12,f22,f30
401.381330344067,11574699849.2587,687345051.926204,577140126.983969,823010554.632535,714818468.325125,47528212.4951123,0.45040977473819,0.422602180407467,0.398449992944029,f11,f12,f22,f31
401.381330344067,10871098745.6309,591134625.882901,577140126.983969,843086875.869652,714818468.325125,47528212.4951123,0.453218554784554,0.4232855904861,0.397450342676031,f11,f12,f22,f32
401.381330344067,6735391461.17946,529976644.803601,577140126.983969,887464999.820031,714818468.325125,47528212.4951121,0.432440343419749,0.427122387890309,0.391203968593306,f11,f12,f22,f24
401.381330344067,10834881899.2005,632651647.056483,577140126.983969,842727996.078132,714818468.325125,47528212.4951122,0.455022000450198,0.421883906913146,0.398301668237566,f11,f12,f22,f33
401.381330344067,8088304741.37828,731881258.528752,577140126.983969,803125105.753738,714818468.325125,47528212.4951125,0.375634819478771,0.424697372143302,0.384707772523439,f11,f12,f23,f30
401.381330344067,9408350565.76056,679839158.369147,577140126.983969,784392443.064703,714818468.325125,47528212.4951123,0.385938381186025,0.438268294897825,0.390049431189288,f11,f12,f23,f31
401.381330344067,6812047983.09739,553871293.819906,577140126.983969,845839550.162499,714818468.325125,47528212.4951121,0.411954796552174,0.434081928273572,0.391602428533475,f11,f12,f23,f32
401.381330344067,9808319883.44159,-1030188813.19257,577140126.983969,883285576.122775,714818468.325125,47528212.4951125,0.448132543543265,0.423567967006806,0.395273357692885,f11,f12,f23,f24
