f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f13,f13 peak N,f22,f22 peak N,f04,f04 peak N,f23,f23 peak N,f14,f14 peak N,f30,f30 peak N,f31,f31 peak N,f32,f32 peak N,f24,f24 peak N,f05,f05 peak N,f33,f33 peak N,f15,f15 peak N
47.6050580691695,1,96.5346993435784,2,135.834237523444,3,194.146020042768,4,215.599359075637,5,265.460113883538,6,300.093978391084,8,288.6669936892,7,518.481296181966,10,434.026484255806,9,548.9709113594,13,523.184579039917,11,540.389379638779,12,599.211552813422,14,665.307221486741,15,852.738444916232,17,717.928476067546,16,880.717262394816,18
45.7184109332096,1,88.684328051231,2,127.847410620063,3,176.044346627957,4,197.392804905852,5,244.501030711893,6,278.820099957399,8,270.231335755304,7,475.654388162136,11,408.177571795716,9,506.239181452873,13,471.259301690298,10,489.821127601798,12,551.831424309163,14,622.215915964161,15,779.628771765808,17,667.514422572421,16,809.098930844058,18
61.1498964048291,1,102.684211428556,2,160.161151907843,3,161.461249849388,4,200.718802962385,5,285.497522248891,6,335.397082378878,8,312.167501478645,7,554.859980392766,12,490.936522985625,11,606.936983105071,14,434.196829741697,9,470.28307714071,10,569.997409989494,13,747.826521521689,15,NaN,NaN,750.040586729222,16,NaN,NaN
49.018020730098,1,91.2081056367809,2,133.584639142478,3,149.679378110615,4,178.134198938558,5,250.595491621226,6,288.059073160644,8,262.110315176676,7,488.766855696379,12,409.707723841162,10,522.046077582883,14,404.578879401236,9,427.796811728419,11,501.379621545835,13,632.281227857274,15,NaN,NaN,635.58657436673,16,NaN,NaN
49.9215269224879,1,90.5510803626762,2,134.79734182975,3,186.384689880643,4,210.384033687533,5,249.004581258054,6,288.509964197136,8,286.39799197265,7,486.056581467254,10,427.094529236922,9,520.9060961611,13,494.223456560605,11,513.363526990874,12,576.519972017366,14,644.31657093817,15,798.962262265562,17,696.100251197585,16,830.961611735258,18
36.9340340158456,1,108.091776459703,2,132.008696084281,3,238.426634186151,4,243.674106337654,5,304.02200221341,6,318.05309774207,8,306.411785527638,7,584.126103373989,10,456.385956656809,9,585.928783003366,11,624.810973837863,13,621.714331183242,12,672.470093369753,14,713.723874282239,15,952.592795648545,17,778.220101876227,16,971.151153009402,18
47.2789020053963,1,63.0504412737716,2,115.503973430078,3,179.137112626628,5,211.117203640747,6,169.302098356958,4,227.532346940668,7,272.395727630986,8,356.674590226245,9,393.307149671744,11,391.637919637702,10,485.186972363428,12,494.276171846394,13,569.439989186184,15,562.943769679522,14,585.140991141177,16,689.741570115028,18,624.81011750304,17
63.2826689079572,1,86.5842999170997,2,153.901420901357,3,233.83139856923,4,265.50309160615,6,235.909724748838,5,301.262623346923,7,353.2102236088,8,458.694233389553,9,498.930552344068,10,516.456356811953,11,623.69262720246,12,647.4600765231,13,724.094858840758,15,705.23035807859,14,744.230774082056,16,855.686081820114,18,796.827905044096,17
53.8353104090138,1,64.8357183128234,2,127.312354416019,3,162.60317880441,4,202.579759589649,6,173.999455356637,5,242.819914157134,7,281.167448802698,8,358.986029423949,9,413.024320903581,11,407.901673285056,10,448.920743503465,12,469.454040940443,13,557.668099020272,14,589.732640880934,16,589.191828903031,15,695.898510360605,18,640.663897340717,17
48.0724092653759,1,69.4342300252466,2,120.335824099158,3,200.849866657786,5,229.454967351635,6,187.163499697913,4,241.978786563194,7,290.859862905356,8,385.497764934408,9,413.994137857364,10,421.755838749874,11,541.819753922539,12,551.310865163623,13,621.298683172852,15,592.523749123904,14,631.588664051008,16,738.015185765239,18,670.504022424155,17
55.4934884363645,1,68.8928261063664,2,130.572019180794,3,186.719928685284,4,215.825324067503,6,189.619584820737,5,249.446854719805,7,294.939353724807,8,370.947757103502,9,418.141332294476,10,425.524376769642,11,494.164284217948,12,517.728513268468,13,587.298032516315,14,589.956480100958,15,611.339795652789,16,703.241998566874,18,661.312462900152,17
39.8311871349144,1,76.5088623885241,2,111.316806769036,3,152.986778572744,4,170.179532001336,5,214.220871337921,6,242.807493302667,8,236.895688285587,7,416.026569697733,11,359.826698111904,9,442.507447993096,13,406.396190716485,10,424.869727016099,12,484.752783620376,14,549.559921332241,15,683.948123951099,17,587.910629277627,16,711.908784214997,18
49.8859840288708,1,74.8006786368215,2,125.519614254088,3,156.276735274459,4,181.137671329657,5,212.074714219244,6,254.942927679392,7,266.632274163931,8,409.3344476753,10,400.046860835432,9,452.334917907508,13,414.578207389083,11,441.994280728059,12,521.080901582699,14,591.545984303537,15,674.28285410163,17,645.418141159442,16,717.168185117857,18
54.3984995040368,1,87.361374799529,2,139.482449560418,3,194.183631638235,4,216.779139691104,5,246.080483154666,6,288.715637094463,7,301.470506977748,8,475.003414002508,10,443.205560359455,9,516.570815204586,13,484.714254948895,11,509.354434696003,12,581.369492143888,14,656.178396550651,15,781.739743938896,17,703.496450979124,16,820.935105656056,18
67.3071699295213,1,68.7880837179597,2,152.978406732065,3,207.382780118593,5,251.920543079613,6,189.053717052815,4,279.258650288869,7,346.026613188328,8,390.755740230956,9,500.803561538446,11,458.787032418602,10,560.994856285044,12,584.016894911433,13,692.271576547562,15,696.721700512778,16,636.257860944186,14,850.819911852665,18,712.733353366383,17
50.7918415954237,1,68.0593865359556,2,124.110544292364,3,181.355498250034,4,217.684399902498,6,181.417942903834,5,244.442166424523,7,285.206751273164,8,380.70957900722,9,415.010077922314,10,419.82861432257,11,494.245933359362,12,507.782874162857,13,587.707689881548,14,596.433581223594,15,624.668654478945,16,719.275485443069,18,665.367127334942,17
44.7736314360701,1,67.4967685992068,2,113.41509397846,3,192.454603318704,5,217.068314811081,6,182.615202254441,4,230.722053394016,7,274.284703963007,8,370.851957040483,9,387.967710978976,10,405.341322608572,11,511.10196632927,12,522.337295167844,13,581.852866119444,15,556.878570836956,14,609.221113894043,16,687.328409054066,18,642.091524423894,17
47.391647998917,1,75.4464022464813,2,121.415133137237,3,130.355531015657,4,160.193208551778,5,209.102647989046,6,250.539528848733,8,243.346840776617,7,407.743997908578,12,375.770947269862,10,442.129440583216,13,352.230549811115,9,378.793692761994,11,461.223480902929,14,566.083595990799,15,669.609554356535,17,586.61161097069,16,NaN,NaN
33.9998417040099,1,71.5834079978422,2,99.9638961279634,3,106.064319665299,4,124.186101265883,5,202.204901660782,7,223.505389649043,8,190.873384803633,6,393.848056328138,13,311.876124849169,11,418.674030337701,14,285.520520245641,9,304.745020561157,10,361.303374395149,12,494.589949513745,16,NaN,NaN,475.934637657352,15,NaN,NaN
