f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18
1.37474200605259e-05,8.735305414604e-06,1.45165353469262e-05,3.50695215366601e-06,3.23839634744518e-06,1.13373914841579e-05,1.12043542990566e-05,7.27769703738139e-06,4.43321943002006e-06,6.60688448894663e-06,6.37777105275064e-06,1.3198132403696e-06,1.44244810729189e-06,2.30944174951209e-06,2.43849854659375e-06,1.89512897237402e-06,2.3429703143742e-06,2.8714026198693e-06
7.91354248064472e-06,4.84762110488094e-06,8.51236271025228e-06,2.63869736220951e-06,1.13915950140258e-06,8.18472511092235e-06,7.0151619298012e-06,4.30525430770188e-06,3.15156937166302e-06,3.34887111979663e-06,2.19616726985879e-06,2.88940572335798e-06,1.34023666079839e-06,1.86183247704418e-06,3.01457422512395e-06,2.29709835688762e-06,1.29210024617997e-06,4.91458278503157e-06
7.73735589313218e-06,7.2995807200739e-06,5.74292478548685e-06,2.44831269663998e-06,1.58739555369782e-06,3.45104399843822e-06,4.65570030887061e-06,2.79994856608399e-06,2.81167427624808e-06,3.68105312234022e-06,3.25047988082689e-06,6.77934364330671e-07,5.01028445325284e-07,1.24983011111319e-06,2.54897390034048e-06,1.10699893671744e-06,1.74649616353241e-06,1.13588288227472e-06
1.66624191907491e-05,1.66254140481458e-05,1.10780289110977e-05,4.31856388592088e-06,2.99752155166756e-06,6.71565955355209e-06,9.19364396062254e-06,4.58974915345871e-06,5.05846098670597e-06,6.04677721491796e-06,5.06719797410762e-06,1.08162578545021e-06,9.43596980072238e-07,2.10689478509841e-06,3.78793642563399e-06,3.86182617812432e-06,4.18462641116736e-06,1.42536321588167e-06
9.0916648238975e-06,5.29085232676334e-06,9.69741943447071e-06,3.07103675150036e-06,2.4371984992143e-06,7.28315194650462e-06,1.07253114635488e-05,9.73150213237205e-06,3.79710661471973e-06,3.02829799156736e-06,3.27375269520651e-06,2.42125057005701e-06,3.72970705659162e-06,2.49725302785787e-06,2.43954961912279e-06,5.3473471901206e-07,1.59168042474729e-06,3.04606260788743e-06
3.15570890238362e-05,1.74434922755199e-05,2.6533921679198e-05,8.43391103012733e-06,9.0049271121005e-07,2.01904371827452e-05,1.29780640240263e-05,6.22735587822056e-06,5.00830845474123e-06,2.24285586552947e-06,4.67665598163424e-06,4.79941448715939e-06,1.98292738722531e-06,1.58321144651759e-06,9.0216312043145e-07,3.09714013623049e-07,9.62201238968898e-07,1.99914693430378e-06
1.63128562148961e-05,9.58951811110493e-06,1.55455057955074e-05,3.53143164127563e-06,3.70107612133168e-06,1.087634939191e-05,8.9921548560865e-06,5.93633604088974e-06,1.67226100749225e-06,1.65120705550641e-06,2.77316871716795e-06,1.72799934062087e-06,9.59121755555263e-07,9.54096003599141e-07,1.66293162038751e-06,3.6657443930113e-07,3.95711885343187e-07,1.39644402065988e-06
2.60052404710856e-05,1.25456883853388e-05,2.38725943008178e-05,7.37825101047159e-06,6.12863642639482e-06,1.17738594987432e-05,1.35021673876507e-05,1.37685979148986e-05,4.12363521811024e-06,1.81185876532744e-06,3.17710007123354e-06,2.97508274144515e-06,2.90416146486245e-06,2.48446571987954e-06,1.5976608030617e-06,5.52507032141127e-07,6.8041480218095e-07,1.30745465061741e-06
1.61810909293022e-05,1.06658852945597e-05,1.64414686875611e-05,3.30541446740621e-06,4.40403511658751e-06,1.15865516655787e-05,1.20652292391309e-05,4.22629506143624e-06,7.4289817346748e-06,6.50650262951774e-06,4.971721778244e-06,1.07504622407031e-06,5.74885111837245e-07,2.71987749710403e-06,3.04270916367928e-06,1.29181537258737e-06,3.36705748107209e-06,1.24542831249182e-06
7.16136850261106e-06,5.06692755579979e-06,7.07713811045951e-06,2.1433303284722e-06,1.2581340732712e-06,6.99753538779376e-06,5.67227055587647e-06,3.52784971083269e-06,2.85064442946439e-06,3.56027122067839e-06,2.64260973726709e-06,2.88653918588957e-06,1.68147795304964e-06,1.44844810891736e-06,1.77984864025795e-06,1.06384535478757e-06,1.15615595584652e-06,2.73418127805295e-06
