f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
4.67009239798121e-06-9.71185074966097e-07i,-1.86194691280551e-05-5.14982723720467e-07i,-3.14172202228427e-06+4.56263275249265e-07i,-1.01454025039657e-05+3.12279134835516e-06i,2.34328684031857e-05+1.44924880378571e-06i,7.54996532839748e-07-7.52657780331946e-07i,1.06029865042098e-06-1.25901466865568e-06i,-1.19834242970093e-05-2.86145847772549e-07i,3.13277571283625e-06+2.0989052033678e-08i,-4.08859111262677e-07-2.26278028633331e-07i,-1.27144040692652e-06+1.05189174652099e-08i,-9.09726633690557e-06+3.6252320750384e-06i,1.58363722668857e-05+2.13224307425667e-06i,-3.12256722510895e-07-1.73941084755397e-06i,-7.89387816288075e-06-1.1461600856006e-07i
5.02164637475432e-06-6.53464279938253e-07i,-1.94860847996115e-05-3.5195900308326e-07i,-8.63574371573568e-06-3.65333082898845e-06i,-1.08521790162788e-05+2.2442184454233e-06i,2.10073655355369e-05+3.79325735868397e-07i,8.51266462992556e-07-5.54519142925006e-07i,-9.85411977253072e-06-4.10776360263971e-08i,9.36886359225369e-07+8.10417935205681e-07i,-6.85529296294125e-06+8.54697278466107e-07i,1.22736454172853e-05+2.86362452340468e-06i,1.27652128011194e-05-4.38311794608918e-08i,-1.7412190152467e-08-9.20795730405356e-07i,-7.3711638841794e-07-7.12672530517799e-07i,-4.8329715427229e-06-5.88971009761148e-08i,-3.41491032234611e-08+2.99978870934011e-07i
2.33521974735348e-06-7.66272929457679e-07i,-1.00314506494853e-05-4.51365542214478e-07i,-3.88220504409441e-06+9.282520402473e-07i,-1.59847852449741e-06+2.00933728013291e-06i,1.14863543879561e-05+5.76593090178303e-07i,7.50937972258158e-07-1.11969958055492e-06i,-7.063943417373e-06-1.88212724947839e-07i,9.2666584500674e-07+3.60836429132584e-07i,-6.48939998328123e-06+8.01499101841786e-07i,1.07471251803632e-05+5.08927674699868e-07i,2.28325299079014e-06-6.84179660416683e-07i,-9.16782499946762e-07-2.51309470749818e-06i,-6.38032152977018e-06-2.54259226952535e-07i,-5.44631440678458e-07+4.30042622746314e-07i,1.43154747744307e-06+1.24688383673118e-06i
7.4641193356631e-06-8.81141473963631e-07i,-2.59109692905253e-05-5.08615352268717e-07i,-4.66457437882599e-06+4.48304146957825e-07i,-1.86822761085206e-05+1.73631786192645e-06i,3.41064947483006e-05+9.52163703220847e-07i,3.93007864328344e-06-1.47068325846836e-06i,-2.02932203448096e-05-3.58974481852821e-07i,8.10561498053157e-07+1.50863862973314e-06i,4.91961864570631e-06+7.86865292029341e-08i,-5.48584700273662e-08-4.03108968450712e-08i,-2.28141049410163e-08-1.15431229264016e-07i,-1.24473547292416e-05+2.3713910503003e-06i,2.24427060103935e-05+1.07503210526581e-06i,-1.39043435487281e-05-3.70799366842923e-07i,-2.283064516429e-07+1.50809673030034e-06i
2.66669362864987e-06-1.14772641462949e-06i,-9.92828687117013e-06-6.25742495797724e-07i,-6.32929071059692e-06+4.6845371593863e-07i,-2.03937641744297e-06+1.66682304527751e-06i,1.35815282184748e-05+4.73912045215109e-07i,1.05144881287121e-06-5.75005537047126e-07i,-7.90333910061526e-06+5.20654647431046e-08i,-7.15325994260112e-06+2.17223274387244e-06i,-7.93755945529375e-06+8.73704938837161e-07i,1.37239244473145e-05+5.80333797777602e-07i,1.33934830719881e-07-8.41053590867696e-07i,3.12677685582446e-06-7.95209586188469e-07i,-2.48121924568339e-07-1.03122056824125e-06i,-8.79361600712582e-06-1.63520858350223e-07i,-1.57152797909204e-07+5.10684020858856e-07i
6.53351321893476e-06-9.75555947759816e-07i,-2.40197081444456e-05-5.86771931099145e-07i,-1.48613026782663e-05+5.15004677903576e-07i,-4.68302195571677e-06+2.08928372276698e-06i,3.12846561105678e-05+5.39069296760457e-07i,2.58401320312058e-06-6.47231738294671e-07i,-1.85100406024767e-05-7.24797774178651e-08i,1.51816406395158e-06+1.25184480404225e-06i,-1.59363716143668e-05+9.94304060460455e-07i,2.67928463735077e-05+6.83762201841541e-07i,5.50106026458298e-06-1.04777668022854e-06i,-9.19774432877952e-08-1.17213802346521e-06i,-6.14449883259711e-06-1.48880133425684e-06i,-1.01697449920849e-05+5.57485472743192e-07i,-1.39721666087721e-07+6.35847464982837e-07i
3.40719691098337e-06-9.22393597551937e-07i,-1.21668082696129e-05-5.28879425731214e-07i,-2.2253995165428e-06+4.00571941948424e-07i,-8.19391440425397e-06+1.5464022448753e-06i,1.64192830623502e-05+7.8837710513113e-07i,1.11953960447058e-06-1.42132867007755e-06i,-9.49699575125433e-06-2.76019904614738e-07i,3.87632672862104e-07+1.1157405030231e-06i,2.4139475323447e-06+6.94414090378496e-08i,-2.80145045527455e-06-2.08307349929051e-06i,-6.74524808812776e-06+1.74133812540707e-06i,1.19382913530963e-05+8.01762630882838e-07i,2.05040581989729e-06-4.22047258150297e-06i,-7.22718347611293e-06-2.98397739692732e-07i,-2.78813965282885e-08+4.61491596039265e-07i
2.6542984735e-06-7.65652895514484e-07i,-9.7653449549288e-06-5.23420230518611e-07i,-5.67126394188394e-06+6.35420532129518e-07i,-1.78167822258223e-06+1.64956629614621e-06i,1.2115497081064e-05+4.80634881343998e-07i,1.06581526146537e-06-5.3727176820973e-07i,-6.95155583922268e-06-1.3639971961426e-07i,5.93044012959048e-07+4.62911213634613e-07i,-6.06773148553769e-06+7.09381386443805e-07i,9.9721464268221e-06+4.11014436273413e-07i,1.91393331196585e-06-5.76681866403135e-07i,-1.33492217568812e-07-1.20208263806151e-06i,-5.59124751267704e-06-2.12565321725604e-07i,-2.34557829644983e-07+4.98096506245773e-07i,1.44610539977061e-06+5.00269578042033e-07i
5.12352348642571e-06-8.62876902031145e-07i,-1.96075966037589e-05-4.72615195366029e-07i,-3.40617924638615e-06+3.76148037708621e-07i,-1.16107322269414e-05+1.50929182793319e-06i,2.63489770561725e-05+6.78557145061166e-07i,2.80852066925108e-07-8.71300731788711e-07i,-4.5963534596389e-06-7.07650294565502e-06i,-1.35582876910431e-05-7.23232822803991e-07i,3.71976687420276e-06+5.06958590506757e-08i,-1.84199252860463e-07-1.81790639894649e-07i,-2.38576620557685e-06+3.49952985849514e-08i,-8.24621186808498e-06+2.18596795385042e-06i,1.76502666826193e-05+9.12895715150372e-07i,-1.00266610862717e-05-2.19517327283401e-07i,-1.26287171052262e-07+8.88230271269989e-07i
3.27769639342351e-06-8.27615465943216e-07i,-1.65345254613003e-05-2.39042775259418e-07i,-2.8780709363046e-06+1.74259730385043e-06i,-2.22267886738795e-06+3.15377583286181e-06i,1.62777995931136e-05+9.08031080075595e-07i,-9.43139590081866e-06-4.62509916286079e-08i,9.10491304183515e-07+5.5255068114048e-07i,2.35732508328413e-06-1.50706921207276e-08i,-8.96521832338968e-06+9.55076203509909e-07i,1.32356555780521e-05+6.80960682005223e-07i,2.3447303553042e-06-9.42912675817204e-07i,-7.78062957606048e-06-3.26729254190885e-07i,-1.24062582298477e-07+1.90667367433138e-07i,-3.25998091253104e-07+2.80196054192646e-07i,2.10681057811563e-06+1.05582895474517e-07i
