f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f31,f31 peak N,f23,f23 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f40,f40 peak N,f15,f15 peak N,f41,f41 peak N
75.6041019595344,1,101.419596544487,2,183.483849109211,3,236.670447472166,4,289.752918270225,6,262.708993399575,5,394.560155225158,8,352.157474682575,7,656.772288736846,12,686.47336408093,13,572.123246194412,10,516.59324475409,9,583.198309691883,11,792.680144072349,14,803.106850861724,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.3314236462321,1,132.762406082566,2,162.73417547173,3,201.80969007677,4,220.434443737491,5,357.279374858902,7,309.022177197046,6,379.643045723292,8,554.374058263951,10,572.627678392244,11,498.993841488991,9,664.837780453655,13,690.70790842394,14,637.009208806706,12,784.043907820488,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.764097415755,1,105.212406523521,2,161.89971432909,3,225.060853281769,4,254.101403979809,5,276.982660420225,6,345.043523115309,8,327.189576839805,7,621.769370518755,12,644.83239516899,13,497.121339634627,9,506.340248859887,10,550.13861929483,11,717.981554431347,15,703.766009521943,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.8705601583778,1,84.3519193680416,2,131.913536847484,3,254.669075267895,5,291.046111680426,7,218.980996285474,4,346.340169364118,8,278.078844993683,6,711.358056650235,14,685.172038503599,12,493.945926596455,11,476.045880557469,9,489.292452358127,10,NaN,NaN,710.416450118323,13,NaN,NaN,NaN,NaN,NaN,NaN,757.957689848302,15,NaN,NaN
73.9266965148525,1,100.654854655857,2,180.889413107868,4,178.071016392121,3,224.328353206258,5,282.479152161449,6,359.931782568434,8,351.642717591862,7,487.853317211638,9,534.355884008478,11,550.325310414019,12,529.954589971235,10,594.75869330109,13,668.254937387422,14,796.484500463441,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79.8107226010111,1,101.864091821245,2,191.776561432107,4,173.421092297266,3,229.377801327575,5,287.719005546726,6,378.834529501946,8,368.312685121692,7,475.994587387295,9,531.738691217109,10,583.285620078655,12,546.472865945418,11,621.629017350751,13,686.424200211837,14,846.065120646349,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67.8753309634961,1,123.770765359345,2,184.529432213802,3,221.1287526289,4,254.663800452718,5,334.459611214679,6,371.789494034085,7,383.839128476097,8,605.295206005968,10,639.238909375403,12,564.144040359677,9,615.625717332121,11,661.521783216384,13,743.055336649056,14,826.313123961504,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.8063915489783,1,83.9783189637846,2,155.960329831436,4,142.883482096241,3,188.769440723791,5,233.805576209158,6,307.609203255063,8,299.937746412566,7,393.312070936013,9,436.73767992739,10,471.867333965431,12,444.008628925402,11,505.386391824336,13,557.639399541411,14,683.454169540109,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81.2016691197953,1,142.831166912354,2,217.457186071779,3,224.580609112127,4,273.686549327189,5,388.10256518962,6,420.667159858522,7,452.144143948831,8,617.854546080732,9,662.505266808651,11,656.002113941085,10,728.714349078663,12,774.085800386981,13,809.826379449938,14,978.295024541586,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68.1397219051775,1,75.8110641370068,2,156.757359725591,3,160.893001715853,4,209.921183667342,6,206.470147507121,5,322.74216146321,8,289.644991917029,7,445.689193457442,10,486.725256749568,13,479.285023348537,12,401.021001026792,9,478.991363602957,11,599.125505225723,14,NaN,NaN,NaN,NaN,651.446300895583,15,NaN,NaN,NaN,NaN,NaN,NaN
