rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz
457.320546436799,15454256801.7902,1011404647.62732,778048224.741553,853273692.012766,73141369.1052859,835308953.466711,0.219794123178164,0.867918554563433,0.315382107971789
377.967452249796,12725750399.2725,887593920.282757,659332532.206895,674179774.899687,90894613.0461508,1502579769.43081,0.219759258736715,0.396183850086242,0.402696140015593
364.167278710778,12945412793.8158,856025569.508409,659332532.206887,647413395.339536,97427157.8890483,876447495.291342,0.494812400051175,0.462254550110756,0.855145639232482
378.488924576772,12832787002.5897,887444925.185835,1131107285.5572,675122247.912424,97427888.2106309,1179118754.76127,0.219759258736767,0.305825066740959,0.353015640113081
379.438947794645,13078074848.0195,892431683.310818,767477350.754943,687228671.6484,97427888.2106317,510645374.02766,0.266512178029067,0.404277450700717,0.4044426421679
392.679196530636,13541931391.1121,904948696.467927,659332532.208527,698181975.40135,78494911.7661243,1651257146.2195,0.220484954879304,0.216979638642377,0.825446005817315
398.000297150812,13485957452.1326,923342161.551565,659580057.693941,719846016.855716,65339876.0528173,1266990888.40742,0.219759258736709,0.320172333107345,0.42380936179755
396.995565791652,13674096906.0761,921087878.431015,659332532.206898,725740609.642192,57163851.3150786,996639576.533935,0.219759477235381,0.321445691045922,0.574704432023667
412.245407142572,14341477293.6978,935161378.384286,995932168.784863,758472585.567346,97427826.2150718,577523580.99796,0.424749633636592,0.216979638641001,0.500910080810271
409.193539681897,14225443386.0105,933528103.847444,781468834.926895,750518725.281105,84037662.6419012,510645742.15621,0.501048922753512,0.21697963864094,0.416423378755969
416.457794807428,13956250904.9758,945079257.210696,659332532.206921,755924904.836298,97426917.8398911,1194270302.08853,0.301160446759077,0.510539514176134,0.256043665824176
437.069266271547,14906125547.4172,983041198.020738,659332532.20688,808690471.82255,73265536.457334,792662817.267595,0.219760790395389,0.55074384161835,0.421423193141843
425.927054049513,14670277973.3238,963712715.470621,659332532.206895,790072768.259598,85367920.0045111,512382538.873644,0.348965927947272,0.216993072943212,0.405139806563571
375.627578222147,13126241188.2054,883003161.779761,659332532.206892,676492670.510166,97420314.051098,510645373.776173,0.422716137426535,0.273153660329382,0.536540858068116
354.641387241235,11852321757.037,851777314.250317,659332532.209531,616030980.358448,85436683.4161124,1745618331.14111,0.219759258736699,0.326787826664551,0.429359876561035
