f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,used f1,used f2,used f3,used f4
60.82404123485,104.037583957798,134.613306125813,160.48688930831,177.536675020238,293.09752975303,462.906537040799,414.787429880401,466.981818125614,520.82300884148,706.45043820998,683.593858779784,f11,f02,f12,f32
61.1253034294686,104.448967449771,-127.603219064044,159.382499548035,-36.0228904260885,144.321910490079,323.727379749596,-60.9970421997243,53.7429915460219,-53.6568266529865,605.461818500865,179.420095761155,f11,f02,f12,f24
60.8246227486341,104.033380490733,138.783775866573,160.51409274136,180.938158134626,295.478974312706,465.14479982695,422.359376955418,473.562109291585,529.977217218404,708.088758515093,691.643003644705,f11,f02,f12,f33
61.1944605350561,104.960804134635,139.345823672125,161.648935281073,181.868374257561,297.157364086904,467.739502219811,424.765579233694,476.232272082692,532.321114717246,712.293842485016,694.981713105305,f11,f02,f21,f22
57.9943229672808,101.020997571611,136.460740374842,154.174599286471,176.735630919307,284.902616634274,447.141784804808,414.102721651874,462.054715796841,513.249852803802,683.106418270309,667.590657136914,f11,f02,f21,f23
62.1715357747636,105.200841306841,139.158794522673,163.274899110453,182.610651248936,299.747471539128,471.703491823359,424.905962190826,477.013157560243,534.822609411487,717.335246197601,699.718461564005,f11,f02,f21,f30
62.1642388788634,104.901238312792,138.774966323929,163.059487036881,182.304864357902,299.323465738201,470.972476960051,423.9303976873,475.809534412952,533.67469840281,716.109867798097,698.52368645799,f11,f02,f21,f31
61.9962033380388,105.429823182685,137.590699297633,163.121714110058,181.275277041231,298.426878382581,470.111408910807,422.448775201577,474.690915004693,530.556574802785,716.124562336593,695.519323302542,f11,f02,f21,f32
58.9515987734116,98.8996171503116,141.018291732104,154.329826380977,181.034060458098,289.054399394687,451.334690871788,419.958878530078,466.298787940543,525.824631900661,683.899523244185,680.358645891281,f11,f02,f21,f24
61.8424144159893,105.38654948862,140.147881340749,162.896643329497,183.159507866172,299.515797442633,471.080527862462,426.90327357926,478.640391349259,535.99001287007,716.626125895143,699.970764841209,f11,f02,f21,f33
60.7119952228974,103.216422457038,89.9019005081036,159.388722974839,141.2371142612,266.637679267053,435.912967968214,332.727445488559,394.366415831023,420.39052520201,684.05542710443,593.978589413294,f11,f02,f22,f23
