err [%],used f1,used f2,used f3,used f4,Mech params
5.66424171592184,f11,f02,f22,f31,positive MP
5.70074267570196,f02,f31,f32,f33,positive MP
5.70215516848446,f02,f20,f30,f32,positive MP
5.73013971692112,f20,f21,f32,f33,positive MP
5.73886082775779,f11,f12,f23,f31,positive MP
5.7557007002615,f11,f20,f22,f33,positive MP
5.76515823126347,f11,f20,f12,f23,positive MP
5.77046880974034,f11,f02,f20,f21,positive MP
5.77261426594359,f02,f12,f24,f33,positive MP
5.77945649637963,f02,f12,f21,f23,positive MP
5.80185321259627,f11,f20,f21,f22,positive MP
5.81199373724792,f11,f31,f32,f24,positive MP
5.82855120612719,f20,f22,f31,f24,positive MP
5.85209581924393,f11,f20,f12,f24,positive MP
5.88717569183868,f11,f20,f21,f33,positive MP
5.89937546420851,f11,f21,f22,f32,positive MP
5.90869824613016,f12,f23,f32,f33,positive MP
5.92891193132463,f20,f12,f21,f32,positive MP
5.9309467367952,f02,f22,f30,f24,positive MP
5.94967419274213,f12,f31,f24,f33,positive MP
5.95000284559078,f02,f20,f22,f24,positive MP
5.95220942560685,f02,f22,f31,f24,positive MP
5.95453031120718,f11,f20,f31,f24,positive MP
5.97515590391676,f02,f20,f31,f32,positive MP
6.03481006625507,f20,f31,f24,f33,positive MP
6.0527997843198,f12,f22,f23,f30,positive MP
6.07067429834971,f20,f12,f23,f24,positive MP
6.07576853629033,f20,f22,f23,f31,positive MP
6.10069911834189,f11,f12,f21,f24,positive MP
6.11244104953922,f22,f31,f32,f24,positive MP
6.13095880159267,f12,f21,f22,f23,positive MP
6.13518123289452,f20,f22,f30,f24,positive MP
6.19082609480607,f02,f20,f12,f23,positive MP
6.20007192243002,f12,f22,f31,f24,positive MP
6.20498750287932,f02,f12,f23,f32,positive MP
6.23171045835377,f11,f20,f30,f24,positive MP
6.23785484674639,f20,f30,f24,f33,positive MP
6.2469536035976,f11,f30,f32,f24,positive MP
6.24700125207351,f02,f20,f22,f23,positive MP
6.25589727175519,f11,f12,f24,f33,positive MP
6.27979475915411,f20,f12,f31,f24,positive MP
6.29037706318499,f22,f30,f32,f24,positive MP
6.29977776212364,f20,f12,f23,f31,positive MP
6.31814849180429,f11,f02,f23,f30,positive MP
6.31868866513674,f02,f22,f23,f31,positive MP
6.3259687208506,f11,f20,f22,f32,positive MP
6.3305948780945,f11,f21,f31,f24,positive MP
6.35857593659902,f20,f12,f32,f33,positive MP
6.36351981833468,f12,f23,f31,f32,positive MP
6.37893005195177,f02,f22,f23,f30,positive MP
6.41777849122952,f11,f02,f23,f32,positive MP
6.44130423691713,f20,f21,f31,f24,positive MP
6.44461774262902,f11,f20,f23,f31,positive MP
6.44906987598026,f20,f12,f23,f30,positive MP
6.51316595937673,f11,f23,f31,f32,positive MP
6.55208731688571,f12,f22,f23,f31,positive MP
6.55234256610874,f20,f21,f30,f24,positive MP
6.5551201233196,f20,f22,f23,f30,positive MP
6.56403439475924,f11,f02,f12,f22,positive MP
6.5932933587794,f11,f21,f30,f24,positive MP
6.62164457660271,f20,f23,f31,f33,positive MP
6.62726441432334,f11,f12,f30,f24,positive MP
6.66242108676158,f30,f32,f24,f33,positive MP
6.66562708365245,f21,f22,f30,f24,positive MP
6.68194508683479,f21,f22,f31,f24,positive MP
6.69489838113592,f12,f23,f30,f32,positive MP
6.70132759822874,f22,f23,f31,f32,positive MP
6.76341082978921,f12,f22,f30,f24,positive MP
6.78564911291456,f11,f20,f22,f24,positive MP
6.78663446215559,f02,f30,f24,f33,positive MP
6.79028341846767,f11,f12,f21,f23,positive MP
6.79300599098478,f20,f32,f24,f33,positive MP
