rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,used f1,used f2,used f3,used f4,used f5
401.381330344067,14186333553.4011,599019016.424522,577140126.983969,819059695.988528,714818468.325125,47528212.4951123,0.449324154946147,0.418713011166799,0.397831365664125,f11,f02,f22,f30,f33
401.381330344067,14197563836.4415,560995934.202405,577140126.983969,822129528.027331,714818468.325125,47528212.4951122,0.452588502016435,0.422252455594604,0.398476917547284,f11,f02,f22,f31,f32
401.381330344067,12635655779.9756,607320727.738162,577140126.983969,755855021.540978,714818468.325125,47528212.4951125,0.387779092976689,0.427949375995746,0.383146163077257,f11,f02,f22,f31,f24
401.381330344067,14204132299.3319,564237483.601945,577140126.983969,825377595.292827,714818468.325125,47528212.4951121,0.4545016044576,0.421072189537319,0.39903703726118,f11,f02,f22,f31,f33
401.381330344067,12464281187.8284,595788782.519833,577140126.983969,763638647.912601,714818468.325125,47528212.4951124,0.394069017292621,0.426956869078454,0.383058555152956,f11,f02,f22,f32,f24
401.381330344067,14164544671.152,565261738.631267,577140126.983969,826388705.95938,714818468.325125,47528212.495112,0.455575692187335,0.420887783736157,0.398999380639927,f11,f02,f22,f32,f33
401.381330344067,12470104571.0929,610220346.286752,577140126.983969,769469839.402488,714818468.325125,47528212.4951123,0.397087001465859,0.424126702740757,0.384254783517096,f11,f02,f22,f24,f33
401.381330344067,13400470635.8486,576091255.700756,577140126.983969,715230405.31973,714818468.325125,47528212.4951123,0.361863572344347,0.429651312258339,0.383617421392873,f11,f02,f23,f30,f31
401.381330344067,13156719301.7806,601171653.204648,577140126.983969,721866821.337424,714818468.325125,47528212.4951123,0.370070311208264,0.430495078141375,0.384041984752043,f11,f02,f23,f30,f32
401.381330344067,12269541601.8448,554077386.148692,577140126.983969,677638353.518391,714818468.325125,47528212.4951123,0.323579943636736,0.421137845166487,0.372539322064634,f11,f02,f23,f30,f24
401.381330344067,13189404238.3627,602227369.066729,577140126.983969,732408832.279105,714818468.325124,47528212.4951124,0.373755159741022,0.427983747425008,0.385374738061091,f11,f02,f23,f30,f33
401.381330344067,13221074482.212,578152333.78025,577140126.983969,725361384.018613,714818468.325125,47528212.4951124,0.380595562431942,0.438086864481281,0.38756492299853,f11,f02,f23,f31,f32
401.381330344067,12529472861.6449,472196380.834064,577140126.983969,682164048.20356,714818468.325125,47528212.4951123,0.343239748813911,0.438116466738016,0.380313920541732,f11,f02,f23,f31,f24
401.381330344067,13285692104.4825,567349356.145379,577140126.983969,737202785.398643,714818468.325125,47528212.4951123,0.384002711765626,0.434859335453136,0.388958033500897,f11,f02,f23,f31,f33
401.381330344067,11946936769.0751,543125425.23179,577140126.983968,696912475.159382,714818468.325125,47528212.4951123,0.357498078550789,0.435842783891845,0.379538610060181,f11,f02,f23,f32,f24
