f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,used f1,used f2,used f3
61.9999987820125,60.4510207213455,183.655435958345,134.766796859948,215.421539273889,302.765697000179,440.861069517031,450.068766483282,468.500024637346,615.14896406924,606.499987462625,749.600963345571,f11,f31,f24
62.0000019836598,102.766718393903,136.538690088716,161.449184742459,180.121739323903,296.615111280304,466.773727749775,417.084002360864,468.499966155131,527.744356728194,708.677016674204,691.999998771252,f11,f31,f33
62.0000003369634,66.528159049241,139.708840359421,138.34084345299,180.027149896196,280.647774525266,424.616164185017,377.784122098306,409.777113654237,520.999984386681,606.500027175262,669.585130183995,f11,f32,f24
62.0000026439027,115.802501043941,131.219733606177,169.732760485779,176.747612415184,299.972386280194,479.694728085581,423.629459404213,483.024073542588,520.99998712055,743.783077118323,691.999991691391,f11,f32,f33
62.0000002252885,64.8257694468758,152.019617696972,137.339646065539,189.942193958422,286.843678882283,429.166863239867,398.033251017889,426.227189973028,547.373981085893,606.500026658993,692.000005908257,f11,f24,f33
56.7909006733211,105.5,147.5,155.5,184.259261405828,290.82432923308,457.00394978973,438.577284234164,487.610284058102,539.22072879044,698.749882038665,690.633098887111,f02,f20,f12
57.0414450674958,105.500002977798,147.500019536635,155.873710292708,184.500003022432,291.468463443477,457.916092253622,438.664834185142,487.755046120359,539.875523742604,699.810647561767,691.819701012633,f02,f20,f21
55.6922650136153,105.499999622201,147.500025679369,153.861290612259,183.203704053786,287.999880819378,453.004255910329,438.193562846324,486.975697144293,536.349682889904,694.0984829801,685.43003408553,f02,f20,f22
39.3477088079959,105.499999126363,147.499997116897,129.481973836091,167.499749368971,245.979837565847,393.499994407838,432.484440706038,477.534213077462,493.635744707674,624.898732028575,608.022539042086,f02,f20,f23
5.03741274914207,105.5,147.5,78.3052074210593,134.534241684687,157.771916133352,268.589401066329,420.5,457.714865299553,403.971304370248,479.635482999889,445.5297708472,f02,f20,f30
23.7080706153388,105.500031696294,147.499951818049,106.154123182373,152.473074111299,205.772067554582,336.562081126059,427.021544971281,468.499949395105,452.76395343501,558.683535897302,533.95348420304,f02,f20,f31
