err [%],used f1,used f2,used f3,used f4,used f5,Mech params
4.58687580009614,f11,f20,f21,f30,f33,positive MP
4.58873248860591,f02,f20,f21,f22,f32,positive MP
4.59300070243542,f02,f20,f30,f32,f33,positive MP
4.60103420873862,f11,f02,f12,f21,f32,positive MP
4.6032220359324,f11,f20,f22,f30,f31,positive MP
4.61146048810383,f11,f20,f22,f31,f33,positive MP
4.61281252470349,f11,f20,f22,f30,f32,positive MP
4.62312478584481,f11,f02,f20,f23,f24,positive MP
4.62557146921618,f11,f02,f12,f30,f33,positive MP
4.64262661853758,f11,f20,f12,f30,f31,positive MP
4.64997307119745,f02,f20,f22,f30,f32,positive MP
4.65084409119338,f11,f02,f12,f21,f22,positive MP
4.65498463895683,f02,f20,f31,f32,f33,positive MP
4.65994434361932,f02,f20,f21,f30,f32,positive MP
4.67062653134125,f02,f20,f22,f31,f32,positive MP
4.67115302613296,f11,f02,f12,f22,f30,positive MP
4.67151725134194,f11,f02,f31,f32,f24,positive MP
4.67167029640598,f11,f02,f21,f22,f23,positive MP
4.67270439509508,f11,f12,f23,f30,f31,positive MP
4.67727418239653,f11,f12,f21,f32,f33,positive MP
4.67894439719843,f11,f02,f12,f30,f31,positive MP
4.68735161577982,f11,f02,f22,f30,f24,positive MP
4.6873925828974,f11,f02,f21,f22,f32,positive MP
4.69417542405327,f11,f12,f31,f32,f33,positive MP
4.69637850001856,f02,f22,f31,f32,f33,positive MP
4.69660704265246,f11,f02,f12,f21,f31,positive MP
4.70105856165943,f11,f02,f12,f30,f32,positive MP
4.70821104288031,f11,f02,f21,f22,f31,positive MP
4.7326104245395,f20,f12,f21,f22,f23,positive MP
4.73713762147913,f11,f20,f21,f22,f30,positive MP
4.73742627315031,f12,f21,f22,f23,f31,positive MP
4.74102545790161,f12,f22,f23,f31,f33,positive MP
4.75017441568345,f11,f22,f30,f32,f33,positive MP
4.75124480575647,f11,f02,f12,f31,f33,positive MP
4.78681739401127,f11,f02,f20,f22,f32,positive MP
4.7873647798116,f11,f12,f22,f31,f32,positive MP
4.78755254338584,f11,f02,f12,f21,f30,positive MP
4.79079232891826,f11,f22,f30,f31,f32,positive MP
4.79095979824645,f11,f02,f12,f32,f33,positive MP
4.79172364316734,f20,f12,f22,f23,f33,positive MP
