f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
9.20975429753529e-06+7.95979574093613e-07i,-2.44724298116556e-05+4.42617405737498e-07i,-2.88836665064471e-06+2.24943104630124e-07i,-7.94447295017477e-06+1.23901757319199e-06i,1.40672788180625e-05+5.05341928766996e-07i,4.26989151948011e-07+7.93228875207328e-07i,-4.45241196987225e-06+1.05215455382866e-07i,1.28306114655404e-07+8.83745070565098e-07i,-1.34155486098525e-06+1.22385097621266e-06i,-3.23759399359431e-07+2.06617481286427e-06i,3.14015621877861e-06+2.27809044901434e-07i,4.4774385280741e-07+1.21880902940544e-06i,-2.61461414245086e-07+8.53324542928588e-07i,-1.43213164242402e-06+1.31613386397563e-07i,6.13425976339029e-08+3.08649577637656e-07i
1.74723437126956e-06+1.04351787184277e-06i,-6.45549585587271e-06+5.81127504658309e-07i,-3.59163676913126e-06+4.24872542014418e-07i,-1.58020039658849e-06+2.21711876284962e-06i,7.14625997707345e-06+5.14350229201709e-07i,4.01256009598628e-07+6.30942159358435e-07i,-3.28860991770625e-06+2.25740215443722e-08i,-8.81706808392285e-07+1.47532814091907e-06i,-2.26215287176248e-06+9.7722833619568e-07i,3.85005707802866e-06+7.34443460735427e-07i,1.32079602825463e-06+1.24317599629078e-06i,6.60748078969659e-07+1.37891146919679e-06i,-3.99226870090487e-07+1.00815045604457e-06i,-1.85528284879285e-06+1.30929008812841e-07i,1.11743223578282e-07+4.08555831679669e-07i
2.88658125527604e-05+9.5526487955994e-07i,-9.76861665764363e-05+5.5268048938065e-07i,-4.14984955722115e-05+5.25365522453329e-07i,-1.34755658397783e-05+2.12090298206791e-06i,7.85196877714309e-05+5.17754484865483e-07i,3.65999344377077e-06+6.70944685497452e-07i,-2.78954321805783e-05+6.27003851428842e-08i,2.64502803037768e-06+1.10422251360794e-06i,-1.75304534330514e-05+9.74831604438066e-07i,2.6242182315804e-05+6.90317356448241e-07i,4.99615488485168e-06+1.07078917429992e-06i,-1.25366513080314e-07+1.0869381410183e-06i,-5.62404141852038e-06+1.0116368030584e-06i,-6.98325413588364e-06+4.34797580849706e-07i,-4.8579362860808e-08+6.04059547019596e-07i
1.56743045421986e-06+8.32232403430996e-07i,-5.98221856916808e-06+4.72588904425281e-07i,-3.7702321271827e-06+6.35377260049002e-07i,-4.31711824205083e-06+1.34040723532221e-06i,8.05755917384741e-06+5.03147259373837e-07i,4.90717376643965e-07+7.53086400809123e-07i,-5.08372084823156e-06+1.00212357672799e-07i,2.73895961766173e-07+8.83158411672946e-07i,-4.86676012725191e-06+1.13997166615677e-06i,9.81711764761232e-06+2.3757178602105e-06i,1.01681952566318e-05+1.55377168647504e-07i,7.44794985073553e-09+1.06278459144177e-06i,-1.2217545144052e-06+1.07704255667448e-06i,-4.61194247924135e-06+2.79327269277657e-08i,-1.42826245609108e-08+4.35248324934673e-07i
1.53376782485823e-06+7.80113504910567e-07i,-5.89069755428679e-06+4.58695027373929e-07i,-3.41934890404192e-06+4.53305212370701e-07i,-1.53347072787781e-06+2.12614994200955e-06i,7.68140219996423e-06+4.93073909524819e-07i,5.1024374783281e-07+7.94606935615729e-07i,-4.82286910980441e-06+1.28658828221049e-07i,3.64201859531314e-07+6.26883722671033e-07i,-4.47778838136807e-06+9.44763911030679e-07i,7.80177114880655e-06+7.21552549933001e-07i,1.83364995700933e-06+1.29963272718833e-06i,-7.81320931214845e-08+9.94277483327878e-07i,-3.63645849326055e-06+5.19855050674199e-07i,-1.65757232465417e-06+6.29718868018653e-07i,8.8365284637489e-08+6.08882008049936e-07i
1.24873747625586e-06+9.13390894562556e-07i,-4.67253005019757e-06+5.2206198193627e-07i,-3.56482531361925e-06+7.6894409963134e-07i,-3.56981910477625e-06+9.98936022287835e-07i,6.26388039828277e-06+5.50935470828505e-07i,3.61529068274226e-07+8.19566576951358e-07i,-3.9618881597148e-06+1.14612802192004e-07i,7.82596873760502e-08+9.18886290098653e-07i,-3.70367572939642e-06+1.21313449429286e-06i,7.73252595140202e-06+1.00820467983652e-06i,7.01539875922308e-06+1.83251978301204e-06i,4.04604017444511e-08+1.14200784157114e-06i,-1.19307315092781e-06+1.17329990346215e-06i,-3.50550249003006e-06+6.88459191932019e-08i,2.35889026575186e-08+4.88372274935706e-07i
2.75571005742051e-06+9.46611400234844e-07i,-1.07332446172031e-05+5.11996751098188e-07i,-2.60104725639349e-06+1.07306362227985e-06i,-6.37048990885706e-06+1.4600794949121e-06i,1.46012976095412e-05+4.83898461716849e-07i,6.47904112255258e-07+6.48630453637984e-07i,-8.83066925477584e-06+1.27561678875039e-07i,-3.85566653569475e-07+2.94347726780294e-06i,-8.4993081123646e-06+1.23016682778332e-06i,3.55797609030293e-06+3.82011289314511e-06i,1.46864466577121e-05+1.8609664518328e-07i,2.60595113985747e-06+5.71172068496232e-06i,-1.69096934976499e-07+9.21497353120494e-07i,-9.22718912287306e-06+1.62553974684296e-07i,-9.9448889486794e-08+3.75419773903004e-07i
9.3518714919531e-07+1.03388755047245e-06i,-3.45248732099697e-06+5.74279934808565e-07i,-2.47741597773353e-06+1.32316997897881e-07i,-2.656692607235e-06+1.13426248185714e-06i,4.76633466779779e-06+5.383816099908e-07i,2.93183698203916e-07+7.14737421228996e-07i,-2.93151122774056e-06+5.00078944627867e-08i,-1.17437739594525e-06+1.37313608958821e-06i,-2.73442907938261e-06+1.24866726913069e-06i,5.30643664734534e-06+2.41577600666261e-06i,5.94391648696261e-06+1.38123569142329e-07i,1.09678905630637e-06+2.20542648595499e-06i,-1.58850862784181e-07+1.06042157356357e-06i,-3.33519263122728e-06+1.78290622247163e-07i,8.31576596379224e-10+4.40470282460073e-07i
1.1423301139912e-06+8.157269849278e-07i,-4.31933936932391e-06+4.58755756251668e-07i,-2.97638734655959e-06+6.82493657503021e-09i,-3.1623380092083e-06+1.08456866973138e-06i,5.75879128343018e-06+4.77156040997246e-07i,3.18562005417986e-07+6.81296004877564e-07i,-3.57525276665279e-06+7.81042036410837e-08i,5.57050187717143e-09+9.34849212842701e-07i,-3.29071207575763e-06+1.08406239419662e-06i,6.69590321007941e-06+1.7782965880127e-06i,6.94419246301721e-06+2.15467175346259e-07i,1.03243714473994e-07+1.11907024279427e-06i,-5.9813361531312e-07+9.90279075788335e-07i,-3.3598824509164e-06+6.4802217017914e-08i,4.61725982998672e-09+3.95887211954322e-07i
1.1478341312818e-06+8.08080516801757e-07i,-4.27248346282547e-06+4.48661571599843e-07i,-1.11471487099789e-06+1.9429910167492e-08i,-2.39672005835984e-06+1.33930154406933e-06i,5.60072263341126e-06+5.57786908331758e-07i,-9.60899094733136e-08+1.30639376649462e-06i,-3.40264627202013e-06+1.9006864543197e-07i,1.78693310214726e-07+6.01105355604452e-07i,-2.63471010237934e-06+1.62344302640789e-06i,-2.13820117428704e-07+3.0851736137432e-06i,5.60804587897994e-06+2.83261843767983e-07i,-2.50593644687669e-08+1.07225070833268e-06i,-1.27278388105362e-06+8.98865858596752e-07i,-2.48578976829898e-06+1.26765005904565e-07i,4.565611401721e-08+4.23059006247337e-07i
