f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f23,f23 peak N,f31,f31 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f15,f15 peak N,f40,f40 peak N,f41,f41 peak N,f34,f34 peak N,f25,f25 peak N
1.28766096881586e-06,1,3.38860880840341e-06,2,7.69228070693211e-07,3,2.18220705465874e-06,4,4.60478376978364e-06,5,7.24386720634072e-07,6,2.4848199382563e-06,7,2.39935752845186e-06,8,2.34077092190246e-06,10,6.33774955057112e-07,9,4.2384968682108e-06,12,2.54743883349808e-06,11,1.55519794308839e-06,13,2.6921764257359e-06,14,3.65122322352992e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.45475048365949e-06,1,8.75810581301535e-06,2,6.22392862002608e-06,4,6.10883719977617e-06,3,1.10759726728924e-05,5,1.3641190562463e-06,6,6.4526896120704e-06,7,8.35193708212739e-07,8,5.538233401349e-06,9,7.76338039309871e-06,11,1.01666004628429e-05,10,1.178200374064e-06,12,3.43247705112016e-06,13,2.52790074801993e-06,14,5.88763458588396e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.42944406161095e-05,1,9.3903458652663e-05,2,1.64047511565408e-05,3,4.86597616162606e-05,4,0.000112239472072394,5,5.53499636394139e-06,6,5.87078071981578e-05,7,5.63593070738384e-06,8,4.45790865978366e-05,9,1.50631168505098e-05,10,7.15418942583345e-05,11,1.34228653489551e-06,12,4.84717763899047e-06,13,3.43142539801221e-05,14,4.99844443902256e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.92898471229773e-06,1,1.05235819190058e-05,2,1.88596826937499e-06,3,5.33739224050726e-06,4,1.164532305166e-05,5,7.90396659285175e-07,6,5.36502114902411e-06,7,1.90259162901463e-06,8,3.23388175141444e-06,9,3.04305040180158e-06,10,5.58309936828885e-06,11,4.80268769427351e-06,12,9.40797585073724e-07,13,2.87206134063433e-06,14,3.52201418637437e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.81599020406079e-06,1,1.0465871503296e-05,2,2.85537620547504e-06,3,6.47605409180199e-06,4,1.39398004011752e-05,5,1.31870432928912e-06,6,8.58913473419287e-06,7,9.57864822557741e-07,8,8.07874878407571e-06,9,5.16200109421424e-06,10,1.38975520519365e-05,11,9.90576515037825e-07,12,2.80127595127783e-06,13,6.23912636896995e-06,14,4.24647345113102e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.61695676378626e-06,1,1.00679663836357e-05,2,3.2680147744358e-06,4,5.27918567288003e-06,3,1.29641235115998e-05,5,1.34563399170379e-06,6,8.23290447093579e-06,7,9.99720194888768e-07,8,8.1225787711055e-06,9,3.32847539454758e-06,11,1.38950367960472e-05,10,1.18362630908189e-06,12,2.27291406678586e-06,14,7.12678342446593e-06,13,7.17741169825051e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.93211252689256e-05,1,5.74740972522907e-05,2,8.16001773553847e-06,3,1.98301812989472e-05,4,3.51051862026146e-05,5,1.32624231158272e-06,6,1.1067039570766e-05,7,1.54255561128404e-06,8,5.84191142487048e-06,9,9.45160562685369e-06,10,1.0120518491703e-05,11,1.29183013365592e-06,12,1.01888564362467e-06,13,3.76916042169965e-06,14,3.6925438600697e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.34096867263755e-06,1,4.34250594460475e-06,2,1.25861495488064e-06,3,2.78394731941707e-06,4,5.74952607039169e-06,5,1.12631358542238e-06,6,3.58121991649357e-06,7,5.90956731968323e-07,8,3.62583158331746e-06,9,3.14384235013262e-06,10,6.25398555617847e-06,11,9.47897279505657e-07,12,1.66569028828903e-06,13,2.78380746646596e-06,14,3.89135167547252e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.31067414412262e-06,1,3.34892497099527e-06,2,2.4141029616245e-06,4,2.13496830283661e-06,3,3.77808316917525e-06,5,7.04516304181255e-07,6,1.85166660220745e-06,7,8.88176502919167e-07,8,1.4543352623486e-06,9,1.75554248703995e-06,11,2.39352744961785e-06,10,9.68536397919519e-07,12,9.61644641018062e-07,13,1.00591993746268e-06,14,3.58319287360473e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.73604414449326e-06,1,2.20934945938998e-05,2,1.54860824252872e-05,4,1.57134739756625e-05,3,2.83911868283108e-05,5,1.96761949422327e-06,6,1.67519156852407e-05,7,1.75036275839594e-06,8,1.47243226252527e-05,9,1.37271054888059e-05,11,2.5520083165443e-05,10,1.03279420050966e-06,12,3.95235306628745e-06,13,1.11020203190509e-05,14,4.66442145046975e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
