f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f03,f03 peak N,f21,f21 peak N,f13,f13 peak N,f22,f22 peak N,f1t,f1t peak N
612.012841280765,1,796.755942956139,2,1251.17318628589,3,1705.93331456542,5,1604.72503301542,4,1870.95933603221,6,2061.77351899496,7,2290.10092244739,8,NaN,NaN
648.019291470774,1,730.652619886445,2,1218.39510802478,3,1456.68684875056,4,1481.74440971151,5,1638.68384044372,6,1904.18342342062,7,2058.7497526468,8,NaN,NaN
494.964233304574,1,573.477503164623,2,1009.81468492789,3,1469.16777998033,5,1235.2811159401,4,1613.04562610149,6,1720.69104469917,8,NaN,NaN,1658.17265897116,7
658.293769349996,1,702.94998544828,2,1275.17074035306,3,1595.84990223924,5,1512.09597247685,4,1806.244753432,6,2044.63994782527,7,NaN,NaN,2170.41727441588,8
593.186892574923,1,770.517437028257,2,1216.34988713845,3,1234.98392551345,4,1596.92932097401,6,1474.12302649994,5,2158.02704230653,8,2061.6039061783,7,NaN,NaN
621.205168462662,1,636.459337208608,2,1181.17798178949,3,1457.01163991531,5,1397.3483834961,4,1663.7890259044,6,1960.82869640358,8,NaN,NaN,1944.14089704245,7
651.751656378362,1,723.784158697468,2,1247.22081098657,3,1515.26486744226,5,1483.3300708848,4,1709.81360297906,6,1929.77529525477,7,2162.06534170737,8,NaN,NaN
726.768400015922,1,872.203786055523,2,1398.36969505234,4,1384.86927323821,3,1758.34578539967,6,1660.53436360975,5,2231.33461820964,7,2289.5268943448,8,NaN,NaN
642.573447043265,1,744.970211427064,2,1279.82975117464,3,1552.46833349332,4,1582.06673687162,5,1779.92192371924,6,2153.77993534478,7,NaN,NaN,2194.43509558956,8
652.593601132127,1,701.015834450033,2,1231.13248323082,3,1556.69029232159,5,1463.48690582255,4,1734.30244895842,6,1926.37889270159,7,2147.8695230005,8,NaN,NaN
701.475805359885,1,757.939813615284,2,1319.29733914894,3,1541.50488285642,4,1583.59093034412,5,1762.76933109129,6,2098.76180905116,7,2255.17428011855,8,NaN,NaN
799.104716202475,1,847.743226517957,2,1513.01140007596,4,1204.11570957881,3,1815.52936598897,6,1640.97000108793,5,2421.31236507991,7,2483.10654948992,8,NaN,NaN
712.814668387809,1,875.634108540404,2,1386.52351868538,3,1516.07636895063,4,1805.47133084721,6,1725.86630570573,5,2419.16225290448,8,2277.9907284096,7,NaN,NaN
581.542052634777,1,828.536620976267,2,1196.95569143081,3,1317.38072648487,4,1600.32506482101,6,1497.45100097416,5,2008.08601274907,8,NaN,NaN,1943.18024588852,7
