H12 f11,H12 f11 peak N,H12 f02,H12 f02 peak N,H12 f12,H12 f12 peak N,H12 f20,H12 f20 peak N,H12 f03,H12 f03 peak N,H12 f21,H12 f21 peak N,H12 f13,H12 f13 peak N,H12 f22,H12 f22 peak N,H12 f1t,H12 f1t peak N,H13 f11,H13 f11 peak N,H13 f02,H13 f02 peak N,H13 f12,H13 f12 peak N,H13 f20,H13 f20 peak N,H13 f03,H13 f03 peak N,H13 f21,H13 f21 peak N,H13 f13,H13 f13 peak N,H13 f22,H13 f22 peak N,H13 f1t,H13 f1t peak N,H15 f11,H15 f11 peak N,H15 f02,H15 f02 peak N,H15 f12,H15 f12 peak N,H15 f20,H15 f20 peak N,H15 f03,H15 f03 peak N,H15 f21,H15 f21 peak N,H15 f13,H15 f13 peak N,H15 f22,H15 f22 peak N,H15 f1t,H15 f1t peak N
0.00107603530409519,1,0.00165167600024907,2,0.00199672509908642,3,0.0014712189923781,4,0.00285101976004514,5,0.00148458762573408,6,0.00238368116359727,7,0.00128603327534818,8,NaN,NaN,0.000668929673527301,1,0.000418671994684638,2,0.000496206931628963,3,0.000824028230427359,4,0.000868355773737534,5,0.00110188824522683,6,0.000797969483111747,7,0.00110221117883646,8,NaN,NaN,6.92660662279272e-05,1,0.000955443605073094,2,5.01882654419153e-05,3,0.00117671945144126,4,3.48246524179524e-05,5,0.000200696389072792,6,0.000214408268906051,7,0.0022433696738808,8,NaN,NaN
0.00141863000837995,2,0.000934301478764416,1,0.00197916183981945,3,0.0014779588156351,4,0.00266122991579834,5,0.00163668285060393,6,0.00225279720468245,7,NaN,NaN,0.000328632214573914,8,0.00072829804259869,2,8.01587833274328e-05,1,0.0004019931360253,3,0.000888898199402907,4,0.000751141802784685,5,0.00112772110796017,6,0.00100467609663691,7,NaN,NaN,8.90545770938818e-05,8,0.000102198021163931,2,0.000745375729606811,1,4.84320646535442e-05,3,0.00132449412801122,4,0.000116380696072327,5,0.000221035208986259,6,0.000308762938796183,7,NaN,NaN,0.000861873383486243,8
0.0010239858645398,1,0.00155722560692067,2,0.00162895846205367,3,0.00140020206972599,4,0.00191221518776783,6,6.47612246306425e-05,5,0.00200436048854938,8,NaN,NaN,0.000254585722985727,7,0.000572184421849837,1,0.000230111538104624,2,0.000397146614707005,3,0.000783049836626191,4,0.000274936102370099,6,0.00123510912721327,5,0.000472418649275972,8,NaN,NaN,0.000910267864066625,7,1.01029696709131e-05,1,0.000844189642067117,2,0.000178117200970742,3,0.00112951870092929,4,8.20881915697626e-05,6,0.000208207864293116,5,0.000899527414631663,8,NaN,NaN,0.00164110594705512,7
0.00104373669443175,1,0.0016710418006832,2,0.00162534669332161,3,0.00164700154113446,4,0.00226449878243421,6,0.00104713039730804,5,0.00239579589351076,8,0.000963656987770449,7,NaN,NaN,0.00057648850767115,1,0.000171054645669803,2,0.000461873334582825,3,0.000854849233118735,4,7.30719613037966e-05,6,0.00147758517185,5,0.00135738668697378,8,0.000841141424157945,7,NaN,NaN,5.349729634158e-06,1,0.000795078200848078,2,0.000313526821159,3,0.00125541937457076,4,4.60778892985444e-05,6,0.000310907122126352,5,0.000382890221161834,8,0.00199405464851402,7,NaN,NaN
0.00113758711231581,1,0.0016625104428457,2,0.0019109805584047,3,0.00169197245407047,4,0.0026921763602332,5,0.00163760492072339,6,0.00208551059587179,7,0.00166373873212279,8,NaN,NaN,0.000681506125951864,1,0.000355477148896349,2,0.000496777639693356,3,0.00086847565300186,4,0.000731965363792749,5,0.00110590666860654,6,0.00081709603427874,7,0.000969858578130312,8,NaN,NaN,2.50631994210085e-05,1,0.00100924057409,2,3.59534519452055e-05,3,0.00130943877647618,4,5.94190158836207e-05,5,0.000245654568321753,6,0.000330079722250039,7,0.00252010667762604,8,NaN,NaN
0.00100185217233891,1,0.00145247086976956,2,0.00166500132782611,3,0.00135334229154927,4,0.00238065135452955,5,0.00148742822698459,6,0.00161440586176073,7,0.00117100801903639,8,NaN,NaN,0.000589580524318238,1,0.000264143404378468,2,0.000415056020855811,3,0.000779077858720671,4,0.000594105785824804,5,0.00103956861524242,6,0.000916598989673788,7,0.000767670722600791,8,NaN,NaN,1.67272465168889e-05,1,0.000838690342692907,2,8.81675247744456e-05,3,0.00121829181830729,4,0.000146027720274682,5,0.000230509429102112,6,0.000404026238827722,7,0.00210611239857568,8,NaN,NaN
0.0012057451413357,1,0.00175076078015442,2,0.00189799408742587,3,0.00188401477178209,4,0.00220792620668015,6,0.000562272971029953,5,0.00258925501437896,8,0.000877521222669904,7,NaN,NaN,0.000651688145291304,1,0.000215979344836749,2,0.0004182135451265,3,0.00102635229499963,4,0.000475440364036954,6,0.00127239092111902,5,0.0013102942569321,8,0.000938633330381266,7,NaN,NaN,8.17138687287016e-06,1,0.000902156681037659,2,0.000214901280290964,3,0.00150872528332787,4,0.000122576368465142,6,0.000250769748320846,5,0.000561134994590126,8,0.00234544460013546,7,NaN,NaN
0.0014084863275252,2,0.00130118377252537,1,0.00222958107960254,3,0.00200201297379968,5,0.00231186566142055,4,0.00182809973705158,6,0.00278648249651558,8,NaN,NaN,0.00097772593064999,7,0.000820348992269858,2,0.000247962279703889,1,0.000453838716358832,3,0.00111107609471627,5,0.000636022168743703,4,0.00142630755285675,6,0.000851674285178188,8,NaN,NaN,3.92892076402564e-05,7,1.94931443806086e-05,2,0.000902949878312382,1,3.80012036525825e-05,3,0.00158736263640402,5,4.43649057747074e-05,4,0.000309094279301296,6,0.000116032760061602,8,NaN,NaN,0.000468142627346432,7
0.00120950533617343,1,0.00177416929838706,2,0.00196549582376036,3,0.00162251730927006,4,0.00169127565816864,5,0.00190702018936387,6,0.00134644832602358,7,0.00167368648543568,8,NaN,NaN,0.000681099238507154,1,0.000298988121271538,2,0.00043604261155483,3,0.000944208174763258,4,0.00103153326765712,5,0.000764663893111369,6,0.00116972371882139,7,0.000565833642264853,8,NaN,NaN,1.84614639762233e-05,1,0.00100394051251681,2,0.000133424195474334,3,0.00134480493466341,4,0.00013800101008481,5,0.000161210742237514,6,0.000928059080801916,7,0.00231147758454798,8,NaN,NaN
0.000965311544999812,1,0.0014670702819374,2,0.00165510651319847,3,0.00189525555027387,5,0.00216075086744593,4,0.00150115470978366,6,0.00188261086098848,7,NaN,NaN,0.000661613041541424,8,0.000602195215339003,1,0.000253599369230339,2,0.000487002467037474,3,0.000808383596708269,5,0.000373912479155727,4,0.00119073458098579,6,0.000799829428334236,7,NaN,NaN,0.000260817447253269,8,1.0196495606729e-05,1,0.000856860611846614,2,4.97157635542324e-05,3,0.00125852836043968,5,3.36391574246803e-05,4,0.000309786680191672,6,0.00027604872121592,7,NaN,NaN,0.000328547870768908,8
0.00132471805259399,2,0.00117531236868437,1,0.00196925150143727,3,0.00175573993521453,5,0.00220097969623525,4,0.00154340502828991,6,0.00245120640135143,7,NaN,NaN,0.000197110501432437,8,0.000755709428113527,2,0.000208931726934728,1,0.000428816932967459,3,0.000928235749697288,5,0.000531411564206424,4,0.00125109138025201,6,0.0007982511431476,7,NaN,NaN,0.000304977921529288,8,3.37400907172583e-05,2,0.000839240725661487,1,4.33005506571619e-06,3,0.00129811028037393,5,6.6065073783386e-05,4,0.000255905796037443,6,0.000160186398757215,7,NaN,NaN,0.000328569422731649,8
0.0012102740164964,1,0.00182599660396599,2,0.00198708429468074,3,0.00179137295314892,4,0.00246528275520976,5,0.00180977546785142,6,0.00180135274891239,7,0.00179844496292351,8,NaN,NaN,0.000709035024872356,1,0.000324895780362114,2,0.000519653567083623,3,0.000938734240558048,4,0.000827794814164437,5,0.00102844158599231,6,0.00106431936188114,7,0.000935745269351632,8,NaN,NaN,1.5452682571616e-05,1,0.00105941890344926,2,0.000117498181129684,3,0.0013941871686105,4,9.5021144057196e-05,5,0.000228685101693558,6,0.000562874302913462,7,0.00264472562949837,8,NaN,NaN
